cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
57,violette,Bouttevilain,Marmotte,Mettes,Jette,Attends,chette,lorette,Mettez,,,,,,,,,,,,,,
58,Garde-Meuble,Meudon,ap-=,Gare,Garde-Meubles,Gardes,Regardez,,,,,,,,,,,,,,,,
59,Montmartre,el,martre,rue Montmartre,boulevard Montmartre,Malus,Chartres,,,,,,,,,,,,,,,,
60,vila,Séville,Hôtel-de-Ville,Vaudeville,Villeneuve-l'Archevèque,Grémonville,Hauteville,Sainville,Belleville,Surville,Fouquier-Tinville,,,,,,,,,,,,
61,Institut,Clubstick,RY,Injustice,,,,,,,,,,,,,,,,,,,
62,rez-VOus,IN,Rir,Cousin,Enivrez,rez,Vous,,,,,,,,,,,,,,,,
63,Écosse,Colosse,"ou-

     
 

D LOS Me Cr",,,,,,,,,,,,,,,,,,,,
64,cherchais,coucher,Cher,orchestr,cher,wagon,cherie,Boucher,Long-Rocher,,,,,,,,,,,,,,
65,Vas-1,As-tu,As-tu cent,,,,,,,,,,,,,,,,,,,,
66,Quelques-,Quelquefois,Quelqu,Quels,lâquelle,Queltasde,York,,,,,,,,,,,,,,,,
67,Louvre,Au Louvre,collections du Louvre,au Louvre,Ar-,dôme du Louvre,,,,,,,,,,,,,,,,,
68,Etat,HR,A,Éetretat,État,,,,,,,,,,,,,,,,,,
69,Rumfort,brume,rue Rumfort,Rochefort,,,,,,,,,,,,,,,,,,,
70,s’étreindre,Londres,Flandres,Hydre,,,,,,,,,,,,,,,,,,,
71,Regis-,Regis=,Gis,,,,,,,,,,,,,,,,,,,,
72,"Champ
de Mars",Champ-de-Mars,Champ de Mars,jeué,Cinq-Mars,"Champ de
Mars",,,,,,,,,,,,,,,,,
73,croyais,croyait}.,rue Royale,,,,,,,,,,,,,,,,,,,,
74,Sphinx,Philosophie,le Rhin,Rhin,Ma-,,,,,,,,,,,,,,,,,,
75,entr’,Feu,Rentrons,Carpentras,Entrez,us,,,,,,,,,,,,,,,,,
76,Comment,Somme,po,La somme,Sombaz,,,,,,,,,,,,,,,,,,
