cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
100,w-4,Saint-Pierre a Montmartre,"a47
Ici",Ohl,Saint-Pierre,eglise Saint-Pierre,,,,,,
101,Petit-Cercle,"sous-prefectureln
Est-ce",Est-ce,,,,,,,,,
102,iles Marquises,joufflus de douze,asphyxie les etrangle,A hx--,les Debuts,M. de,Voyez,,,,,
103,x=-,Cap,,,,,,,,,,
104,Rana-Valo,val,,,,,,,,,,
105,violente,rang.- Presentez,Pres,Apres,I99,representee,Pentecote,desert,,,,
106,1E.,"IX
TU",,,,,,,,,,
107,Perrache,LN,Pachecon,Bach',Pacheco,,,,,,,
108,.,ronfla,wagon,,,,,,,,,
109,Foin,val Quelquefois,magnifiquel,Bhagiratha,Afrique,Quelquefois,Quels,laquelle42,Quelque,,,
110,Hospitalier,d'Italie,Italiens,Italien,l'Italie,Italie,,,,,,
111,Consterna-,E,consternes,,,,,,,,,
112,Religion,Revolutionl,J'ai,Expansion,,,,,,,,
113,punch,Chutl,Eux,,,,,,,,,
114,ceda,luil,Ebloui,Ouil,Ferrouillat,,,,,,,
115,"LLLLLLLLLLLLLLL-LL-LLLLLLLL-LLLLL-LL-L
Dieu",LLLLLLLLLLLLL.LL-.L-,"L.LLL
-
W",LLLLLLL-LLLLLLLL-,,,,,,,,
116,Amour,veloursl,Luxembourg,Tribou,Bourgeoisln,,,,,,,
117,Alfort,Infortunes,,,,,,,,,,
118,Chauve-Souris,Souwaroff,Soudain,"rOle
d'Ocean",Peyrol,Soubeyrol,,,,,,
119,abbe ruisselle,buis,Laisse,suisse,,,,,,,,
120,tetes,tete empanachee,tete,,,,,,,,,
121,voill,Quoil,voila,Voilh,,,,,,,,
122,Ohel,flte,vecu,lilas,Helasl,Helas,,,,,,
123,"sI. -
I
-
5:
i",e,"rs
-",N,"S
-
Lfi",,,,,,,
124,malheureusel,Malheu-,Horreurl,Malheureu-,Malheureuse-,,,,,,,
125,pyramide d'Egypte,ISL5,amisln,,,,,,,,,
126,io,"3z-E
E
Wr
A",,,,,,,,,,
127,IZ,Porcelaines,Maine,aTout,Retourne,Touraine,,,,,,
128,deplume,l1'Epitome,precipite,depit,,,,,,,,
129,I45,La creole,le soleil,soleil,,,,,,,,
130,"hotel Piloisl...
Du",hotel,Pilouittl,hotel Pilois,Pilois,hote,,,,,,
131,LA-dessus,Lh-dessus,par-dessus,,,,,,,,,
132,Cunocepa,paraft,Parfaitl,caraibe,separa,"A
 A

 
I




.Y",,,,,,
133,"w1
-
-7YIII",".'-
-re","-
-
-]","xl-
-.",".'-
-re-c
I n J
eA
A--",,,,,,,
134,Lamartine d'Elvire,Philistine,cheminee,ratatinee,,,,,,,,
135,r8,lh-bas,la-bas,ner la-bas,Bas,Ld-bas,ld-bas,--f,,,,
136,Jusque-la,Y,"W
I
2

re",trompe-la-mort,RBvE,LA--3,Fanfan-la-Tulipe,,,,,
137,Parthenon,depart,dpart,,,,,,,,,
138,Vatel,Cristaux,tristel...,,,,,,,,,
139,victoria de la dame,dictce,victoria,,,,,,,,,
140,Guigne,eteignez,Notre-Seigneur,neud,Seigneur,,,,,,,
141,Chinois,Colombine,"CHIOSE
A","16 J
as4",Polichinelle.n,Chine,,,,,,
142,Lh-haut,a6,lh-haut,tueras lha-haut,la-haut,La-haut,,,,,,
143,La Bete,"Es-tu betel
Si la tete te tourne",BeteI74,betes,bete,,,,,,,
144,mitra,Vienne,tragedienne,-L,,,,,,,,
145,4-,"mien.2o
LE PETIT CHOSE","les86
LE PETIT CHOSE","plus54
LE PETIT CHOSE
LL","BeteI74
LE PETIT CHOSE","7LL-L-L
LE PETIT CHOSE",Petit Chose,"porte du collegel88
LE PETIT CHOSE","a6
LE PETIT CHOSE","arriere-magasin.r8o
LE PETIT",,
146,boue de Paris,Parisien,Parisiens,Parisl,Paris,,,,,,,
147,Pourvu,rez-de-chaussee,poussde,c6te,Pousse,,,,,,,
148,L.sdin--,Muse badine,Lombards,ca,Iardin,,,,,,,
