text,cluster,cluster_corrected
a Montparnasse,75,
boulevard Montparnasse,75,
lLs-,76,
Ls,76,
Inde,77,
Rendez,77,
canape,78,
Ca,78,
Cap,78,
ca,78,
l1'Academie,79,
Cadet,79,
Comedie,80,
Comedie-Francaise,80,
Comeidie,80,
frangcais,81,
Frangais,81,
Theatre-Frangais,81,
"Theatre-
Frangais",81,
Theatre-Frangcais,81,
Theatre-Francais,81,
theatre,81,
la-bas,82,
ner la-bas,82,
Ld-bas,83,
ld-bas,83,
"L--
`",84,
"L--
`-",84,
Bonsoir,85,
soiree,85,
Bravo,86,
bravel,86,
L.-iw,87,
L.R,87,
Moustier,88,
Cachotier,88,
quartier,89,
Quartier,89,
Quartier Latin,90,
Quartier-Latin,90,
Caveau,91,
Savez,91,
avenue,91,
Avez,91,
savezl,91,
".'-
-re",92,
".'-
-re-c
I n J
eA
A--",92,
Pruneaux,93,
Beaux,93,
bordeaux,93,
Sceaux,93,
Pecairel,94,
Beaucaire,94,
tenezl,95,
Venez,95,
enerve,95,
Tenezl,95,
Comprends-tu,96,
Comprenez,96,
"sI. -
I
-
5:
i",97,
"I

-
i",97,
---rciseizzz--,98,
"S
---
e",98,
4-,98,
L----,98,
a----,98,
k--,98,
1---- IH,98,
a'-a,98,
.--,98,
.--ac-'-,98,
A hx--,98,
t-'-,98,
4--,98,
LA--3,98,
cC`--.--.-  ---:-r--,98,
"C---e
L",98,
--f,98,
Bach',99,
aC',99,
rs,100,
"rs
-",100,
"S
-
Lfi",100,
"sous-prefectureln
Est-ce",101,
Est-ce,101,
Pachecon,102,
Pacheco,102,
Ohel,103,
Boheme,103,
Heinl,104,
Helasl,104,
Helas,104,
"w1
-
-7YIII",105,
"-
-
-]",105,
"xl-
-.",105,
II,106,
"II
hY",106,
Guigne,107,
eteignez,107,
Parfaitl,107,
Notre-Seigneur,107,
Seigneur,107,
Rome,108,
Promettez,108,
Cherchons,109,
Mon cher,109,
Cher,109,
du cher,109,
sec.g6,110,
seche,110,
le Midi,111,
Midi,111,
fort Loyasse,112,
Loyasse,112,
Alfort,113,
Infortunes,113,
Boucoyran,114,
"Boucoyranln
- Bonjour",114,
Porcelaines,115,
palais de la fee Porcelaine,115,
Muguet,116,
Muguets,116,
Robinson,117,
MI,117,
MIimi-Pinson,117,
Eyssettte,118,
Musette,118,
Eyssette,118,
Mee Eyssette,118,
Eyssettel,118,
Blanc,119,
Blancs,119,
gresil,120,
resister,120,
hesiter,120,
venere Lalouette,121,
"vieux
Lalouette",121,
Lalouette,121,
Fouette,121,
Mee Lalouette,121,
baguettel,121,
Lalouettel,121,
Barbette,122,
Barbetten,122,
Barbettel,122,
Pres,123,
Apres,123,
rang.- Presentez,124,
representee,124,
Coucou,125,
Coucou-,125,
CoUCoU-BLANC,126,
Coucou-bBlanc,126,
"Coucou-
Blanc",126,
essouffle.coUcoU-BLANC,126,
Coucou-Blanc,126,
Coucou-Blancl,126,
Coucou-Blancl Est,126,
"K

.-1coUcoU-BLANC",126,
toi.n,127,
I.E,127,
toitl,127,
LIl,128,
lilas,128,
Philistine,129,
Chili,129,
vages,130,
pensezl,130,
lisezl,130,
Mont-,131,
Montez,131,
mont-de-piete,131,
Parthenon,132,
depart,132,
dpart,132,
paraft,133,
separa,133,
menage,134,
menagerie,134,
AY,135,
Mademoiselle.6,135,
pays-lh,135,
hate,136,
Chateau-,136,
Neuf-des-Papes,137,
"Chateau-
Neuf-des-Papes",137,
Chinois,138,
Grenelle,138,
Polichinelle.n,138,
Chine,138,
frenesie,138,
luil,139,
Ouil,139,
Ferrouillat,139,
R-L,140,
-L,140,
Pilouittl,141,
Ebloui,141,
hotel,142,
hote,142,
"hotel Piloisl...
Du",143,
hotel Pilois,143,
Pilois,143,
la Bretagne,144,
Bretagne,144,
Vive,145,
Viva-,145,
meLEsS,146,
pele-mele,146,
Luxembourg,147,
Bourgeoisln,147,
sagne,148,
Cassagne,148,
Marsala,149,
Kalatala,149,
champagne,150,
d'Espagne,150,
pagna,150,
Espa-,151,
aUn Espa-,151,
baie de Naples,152,
Naples,152,
Vienne,153,
tragedienne,153,
Palais-Mazarin,154,
Palais-Royal,154,
Maintenant,155,
manecanterie,155,
Angleterre,155,
Nanterre,155,
Maine,156,
Retourne,156,
Touraine,156,
romains,156,
"Vieille
bete de Pierrotte",157,
"Vieille
bete de Pierrotte, val",157,
tapissieres,158,
Grossiers,158,
"Pierrotte
Pierrotte",159,
Pierrotte -,159,
"PIERROTTE
I43
Cevenole",159,
Pierrotte,159,
Pierrotte.n,159,
Cevenole,160,
Cevenol,160,
Saint-Guillaume,161,
"rue
Saint-Guillaume",161,
rue Saint-Guillaume,162,
rue Saint-Guillaumel,162,
Limoux,163,
"Limoux
Seulement",163,
Saint-Pierre a Montmartre,164,
Nizier,164,
Saint-Pierre,164,
Montmartre,164,
eglise Saint-Pierre,164,
Saint-Benoft,165,
rue Saint-Benoit,165,
rue Saint-Benoft,165,
SAINT-NIzIER,166,
SAINT-NIZIER,166,
Saint-Nizier.n,166,
Saint-Nizier,166,
Saint-Nizierl,166,
voyais,167,
etais,167,
