cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
125.0,tolocototignan,Tolocototignan,,,,,,,,
126.0,Embrasse,passerelle,fort Loyasse,Loyasse,,,,,,
127.0,Annou,annongca,,,,,,,,
128.0,saluerentIIIRIAR,vIOT,Pentecote,violente,,,,,,
129.0,"I


-'  t","J

-'
1
x
1",,,,,,,,
130.0,gardes-du-corps,fardees,egayer,Regardez,garde-robel,,,,,
131.0,ISL5,Luxembourg,amisln,Tribou,Bourgeoisln,,,,,
132.0,frenesie,Alfort,Infortunes,,,,,,,
133.0,estimez,IMes,IEst,,,,,,,
134.0,Montparnasse,boulevard Montparnasse,theatre Montparnasse,h Montparnasse,a Montparnasse,,,,,
135.0,Palais-Mazarin,palais de la fee Porcelaine,Palerme,croirais-tu poete,Kalatala,Palais-Royal,,,,
136.0,guipure,Entrezl,Figurez,,,,,,,
137.0,Lombards,Bandit,Bamban,,,,,,,
138.0,Saint-Pierre,"A
 A

 
I




.Y",Montmartre,Saint-Pierre a Montmartre,eglise Saint-Pierre,,,,,
139.0,depart,Parthenon,Parfaitl,dpart,,,,,,
140.0,gnol,"Bati-
gnolles",Batignolleslo,,,,,,,
141.0,TU vENDRAS DE LA,Vendredil,vENDRAS,Vendredi,Cudra,,,,,
142.0,Cevenole,Cevennes,Cevenol,,,,,,,
143.0,IMoi,moitie,Tiens,,,,,,,
144.0,allezl,Allez,Mlle,alle,Vallee,talle,,,,
145.0,a----,cC`--.--.-  ---:-r--,L----,1---- IH,,,,,,
146.0,d'Espagne,aUn Espa-,Espa-,,,,,,,
147.0,givre,Sevres,levre,fievres,fievre,,,,,
148.0,victoria de la dame,dictce,victoria,,,,,,,
149.0,Vienne,mitra,vages,tragedienne,,,,,,
150.0,menton,ronfla,Boheme,Vraiment,faiblement.z=-,Confusement,L'ENLEvEMENT,,,
151.0,malheureusel,Horreurl,Malheureuse-,Malheu-,Malgre,Malheureu-,,,,
152.0,Laf,deplaft,plaft,,,,,,,
153.0,"P' -L
- 
=",Boucoyran,"Boucoyranln
- Bonjour",,,,,,,
154.0,Souwaroff,Peyrol,"rOle
d'Ocean",Soubeyrol,,,,,,
155.0,melopee,pele-mele,meLEsS,,,,,,,
156.0,Ferrouillat,luil,Ouil,,,,,,,
157.0,deplume,Languedoc,asphyxie les etrangle,Langlumeau,,,,,,
158.0,Helasl,Ohel,Helas,,,,,,,
159.0,Pise,"Y '
W,--r
7-x
'",---rciseizzz--,miserablel,,,,,,
160.0,l'Italie,Italiens,Italien,Hospitalier,d'Italie,Italie,,,,
161.0,La creole,ecria,Necro-,execre,,,,,,
162.0,Consterna-,consternes,,,,,,,,
163.0,Turc,Est-ce,"sous-prefectureln
Est-ce",,,,,,,
164.0,canape,eperdus,apergcu,,,,,,,
165.0,tenonslo,guide-ballon,Allonsl,,,,,,,
