cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
122,Compagnon,complé—,Accompagnerai,compa—,compléte—,indompta—,,,,,,,,,,,,
123,contre—,entiére—,mainte—,maître—,quatre—vingts,trente—,entraîne—,A1’entrée,,,,,,,,,,
124,celavaut,"285

Le Cœur","Cœur
Loyal",Cœur Laval,"Cœur
Laval",,,,,,,,,,,,,
125,lors—,adres—,ténèbres l’,ques—,tres—,pres—-,pres—,Vipères,prai11es,,,,,,,,,
126,Mouss ;x,jus—-,indus—,musi—,réus—,Russie,Poussé,Usted,N 6 Eusébio,us,,,,,,,,
127,Croit,eﬂ'roi,froide-—,eﬁroi,Moi—même,troi—,prodi—,,,,,,,,,,,
128,Linnée,Élevée,accablée,dételées,lée,mée,,,,,,,,,,,,
129,Pompadour,assour—,four—,etpour,pour—,tour—,Pourquoi,sour—,,,,,,,,,,
130,Durango,"atta—

DE","Ÿ

DE",statues de bron—,M°- d,Vert de gris,maianza de!,"États de Durango '
et de",États de Durango,,,,,,,,,
131,Mississipi,yisiter,résis—,Quisis,Unis,NISARD,parais—,tisfaît,pis—-,w—,ISR,paisible—,visi—,saisis—,Isa,,,
132,eiTet,elïet,Vet,eﬂ‘et,Êtes,Egypte,tète,Dites,clzicote,Etes,,,,,,,,
133,Ba-,baga—,proba—,Baht,Ba—,,,,,,,,,,,,,
134,Turcs,TUE,alfectueuse—,bituelle,Tue,,,,,,,,,,,,,
135,Pimas,Passé,surpas—,impassible—,Opatas,Pas,Passage,,,,,,,,,,,
136,réel—,Paciﬁque,GI_SQUET,quel—-,Que s’,MG,quel—,Quelles,,,,,,,,,,
137,"ABBANSAS- 295

je vais",Anglais,Vais aviserà,Va,Laisse,devais—,venaison,Pouvais,Savais-tu,Vais,,,,,,,,
138,couvent de la Merced,Merced,Merci,,,,,,,,,,,,,,,
139,comber,Combien,abat—,tomba,combat—,,,,,,,,,,,,,
140,Luz,Luz s’aperçut de l’,dana Luz,Doua Luz,Luz l’,,,,,,,,,,,,,
141,A l’indienne,Un Indien,indif—,indispen—,Indiens,l’Indien,Imprimerie Êiinins‘r Maven,indienne,vieuxichef indien,cienda,Les Indiens,Indien,Indiennes,,,,,
142,Arrêtez,Pardonnez,Parle,Partons,paru—,apparte—,Cortez,Parlez,Parts,Partez,"si—
gnal du départ",,,,,,,
143,Slt LES TRAPPEURS,"TBAPPEURS

—",peuple—,TBAPPEUPtS,LES TI‘,LES TBAPPEUPtS,,,,,,,,,,,,
144,rigènes qu’,puisqu’,quit—,Québec,usqu’,qu’,,,,,,,,,,,,
145,Elle l’,Que l’,Je m’,Je l’,j’ai l’,,,,,,,,,,,,,
146,État de Sonora,honora—,Sont,Fort,Sonora,Sonore,,,,,,,,,,,,
147,Bassurez,rassu—,assezlourd,Rassurez,,,,,,,,,,,,,,
148,Rien,Clziens,DIPLOMATIE,Chiens,Tiens,,,,,,,,,,,,,
149,N_ul,—- Pardieul,difﬁculté,Pardieu,aboiemeuts,Pardieul,,,,,,,,,,,,
150,senorita,Serait,m‘endormir,senorîta,senora,,,,,,,,,,,,,
151,la posses—,possé—,Cesse,possi—,Chose,Sebastopol,déses—,posses—,,,,,,,,,,
