cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
171,LG,ngres,gre,Greenwald,lgre,Malgre,La Fougre,,,,,,,,,,,,,,,,,,
172,attroupemenlts,Doucement,Le Gouvernement,Gouvernement,Fouvent,,,,,,,,,,,,,,,,,,,,
173,Pressel,Presi-,maitresse1,Presse,Presles,President,,,,,,,,,,,,,,,,,,,
174,Francais,Comedia-Francaise,Francaise,,,,,,,,,,,,,,,,,,,,,,
175,Celles,Celles-lh,Moelle,moselle,rue Bellefond,celle-lan,mademoiselle,celle-lh,Belle-,Bellevue,Appelle-moi Vicomte,Bagatelle,perpctuelle,,,,,,,,,,,,
176,Mlurchux,Fecture,Turc,Turcs,,,,,,,,,,,,,,,,,,,,,
177,"Trois-Frres-Provinciaux.-
Le Citoyen",0uX.,Trois-Frres-Provinciaux.-,Oi es-tu,Provinciaux,,,,,,,,,,,,,,,,,,,,
178,la grosse,Ecosse,grosse,Gros l,,,,,,,,,,,,,,,,,,,,,
179,Arc de triomphe un cheval mort,Arc de triomphe,,,,,,,,,,,,,,,,,,,,,,,
180,porte Saint-Denis,rue Saint-Victor,boulevard Saint-Denis,rue Saint-Denis,de Saint-Denis,rue Saint-llonore,rue Sainte-Anne,,,,,,,,,,,,,,,,,,
181,rue Fromanteau,Fromanteau,,,,,,,,,,,,,,,,,,,,,,,
182,croyait',LE1AURAIT0N,Voyez,Tait,loyaut,Voyait,Savoyard,,,,,,,,,,,,,,,,,,
183,Prodi-,proximo,"rue
le Provence",provence,Providence,,,,,,,,,,,,,,,,,,,,
184,bles,I,Garde-Meubles,Garde-Meuble,,,,,,,,,,,,,,,,,,,,,
185,Pantheon,sinthe,Theodore,Panthon,th6eo-,,,,,,,,,,,,,,,,,,,,
186,auprs,rs,aprs-midi,L'aprs,aprs,Aprs,Progrs,"aprs520
L'",,,,,,,,,,,,,,,,,
187,Taient,causaienl,Bientot,Finissaient,avaient9,Ient,l1Orient,gie,,,,,,,,,,,,,,,,,
188,Saint-Honor6,quai Saint-Bernard,Saint-Franois,Saint-Marceau,Saint-Cloud,Saint-Valery,Saint-Paul,Saint-Nicolas,la Saint-Barthelemy,Saint-,Saint-Germain,Mont-Saint-Michel,Saint-Roch,Saint-Louis,Saint-Pre,Saint-Antoine,Saintonge,"Saint-Satur-
nin",Saint-Thomas,chapelle Saint-Satur-,,,,,
189,Piliers,Dulaure,Desluuriers,Deslauricrs,gcnevriers,Deslauriers,les triers,bDeslauriers,,,,,,,,,,,,,,,,,
190,diocre,mediocre,Samedi,,,,,,,,,,,,,,,,,,,,,,
191,Iussonnct,Hussonnet,Frisonne,baionnetles,Letonnemnent,Hussonne,Iussonnet,Iu,-  Personnel,,,,,,,,,,,,,,,,
192,l3,Poitiers,Poisson-,Poissonniere,i5,Poissonniers,Canonniers,,,,,,,,,,,,,,,,,,
193,Paris  Nogent,Nogentais,Nogent-sur-Seine,Nogent,,,,,,,,,,,,,,,,,,,,,
194,Grammont,"Mont-
charron",Montebello,Montreuil-Nantua,crmonie,Aspremont,Montpensier,Ellemontadedans,Mondor,Mont-,vermont,port le Montereau,Montereau,Zi mono,mont escalier,Montrez,,,,,,,,,
195,Taisez,Pere-Lachaise,Anglais,Anglaise,porte du cafe Anglais,,,,,,,,,,,,,,,,,,,,
196,Clyde,Mode,"des-
sin",bDe,Desde,accoudes,,,,,,,,,,,,,,,,,,,
197,place de la Bastille,Castille !,hasta,fastilieuse,Bastille,la Bastille,Pastilles,,,,,,,,,,,,,,,,,,
198,Cacau,EnUCA,Lavocat,Ca,"cafe170
L",camelias,caf,ca,Cate,,,,,,,,,,,,,,,,
199,fum,Museum,musee,Cmu,,,,,,,,,,,,,,,,,,,,,
200,aec,la piece,lithographiecel-bre,piece,Pierrot,,,,,,,,,,,,,,,,,,,,
201,Pense,Rubens,faenza,Sens,sEN,mens,fensive,,,,,,,,,,,,,,,,,,
202,iFremer,Phedre,rena de,deplorer,reverbresL,Freres-Siamois,chbevre,hire,Lire,Brea,Svres,Religion,retirez,re,Breda,harem,albare,bire,tombereitx,prelres,,,,,
203,aout,Toutle,debout li-bus,Loulou,lout,Boutron,cblouie,,,,,,,,,,,,,,,,,,
204,IL1,Creil,Ilot,Corbeil,narguil,huil,Iln',Il1,Milo,oeil,Ili,IL,teil,,,,,,,,,,,,
205,Prends,- Rendez,hend,,,,,,,,,,,,,,,,,,,,,,
206,madras,Madrid,,,,,,,,,,,,,,,,,,,,,,,
207,Sngal,inegalemecnt,Bengale,,,,,,,,,,,,,,,,,,,,,,
208,chillonnires,Postillon,Larsillois,Postillon russe,postillon,Chitillon,tillon,Gaillon,Pilon,place Gaillon,,,,,,,,,,,,,,,
209,Polonaise,Apollo-,Prolong,Monopole,Apollonie,Polonais,Napolion,Napolon,Napol-,Napoleon,,,,,,,,,,,,,,,
210,de la Seine,la Seine,La Seine,seine claire,t Seine,peine2,Seine,seine,,,,,,,,,,,,,,,,,
211,le Rhin,rHin,le rhin,rhin,Sphinx,,,,,,,,,,,,,,,,,,,,
212,Iu reussiras,vessie,Russe,siege,Russie,Caussidiere,russie,,,,,,,,,,,,,,,,,,
213,Etretat,Letat,At,lEtat,Etat,tat,et6e,,,,,,,,,,,,,,,,,,
214,Dessins,poussibere,coussins,Cousin,Croix-Housse,,,,,,,,,,,,,,,,,,,,
215,Somme,Merci,ommne,Almanach du Commerce,lerins du Commerce,Commerce,,,,,,,,,,,,,,,,,,,
216,medecins,LinUCCATIN,Mince,Bobino,Int,Anmoins,ain,nankin,inde,nins,In,Vins,indemnis,Insucc,tina,,,,,,,,,,
217,Hosnelte,Barcelone,el l,belges,A Elbeuf,Mlichiel,"ceLA
wia",amiel,Delm,el,El,htel,,,,,,,,,,,,,
218,birmanie,Enivrez,genie,geniel,,,,,,,,,,,,,,,,,,,,,
219,"vis-l-vis de
lui-meme",Sicelui-l,celui-l.,l.,,,,,,,,,,,,,,,,,,,,,
220,Frd6ric,Fred6ric d'ecrire,Fred6ric,,,,,,,,,,,,,,,,,,,,,,
221,Suresnes,Internes,Comines,Ines,Neuves,tine,,,,,,,,,,,,,,,,,,,
222,Constantinople,Devant,Conservatoire,-  Conservons-les,Conservant,,,,,,,,,,,,,,,,,,,,
223,n,Savoie,savoie,,,,,,,,,,,,,,,,,,,,,,
224,eclatsle,Isle,isle,,,,,,,,,,,,,,,,,,,,,,
225,Moyens,Le Citoyen,Citoyen,Citoyens,Citoyen tonne,,,,,,,,,,,,,,,,,,,,
226,"jaun
blanches",manche,la manche,,,,,,,,,,,,,,,,,,,,,,
227,circulezl,- Voulez,vOulez-Vus,Voulez,,,,,,,,,,,,,,,,,,,,,
228,prepondrance,Londres,repondre,rpondre,Flandres,Pondre,,,,,,,,,,,,,,,,,,,
229,richards,Poissards,Poissarde,,,,,,,,,,,,,,,,,,,,,,
230,Cygne de la Croix,Mme de Larsillois,rue de la Ferme ?,rue de la Paix,rue de la Ferme et de la rue Tronche,seuil de la lorette,ferme de Presles,"au-
tre c0te de la table","tic-tac de la
cellule",rue de la Ferme,mer de la Sagesse,place de la Bourse,,,,,,,,,,,,,
