cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
185.0,cntra,Crisange,echangee,boulangere,Ptrange,,,,,,,,,,,,,,,,
186.0,Evoie,voitre,Voil,Voilh,,,,,,,,,,,,,,,,,
187.0,Autrot,sasrrot,trot,,,,,,,,,,,,,,,,,,
188.0,Beelzebuth,Ilbalbutia,balbutiont,,,,,,,,,,,,,,,,,,
189.0,mequlon,qulon,,,,,,,,,,,,,,,,,,,
190.0,Yauseotte,Crott,aott,,,,,,,,,,,,,,,,,,
191.0,cslehge,nousaviserons,Lehron,Leharen,"ba-
ron",,,,,,,,,,,,,,,,
192.0,Lautren',Alautre,Lautre,,,,,,,,,,,,,,,,,,
193.0,Picot,picd,,,,,,,,,,,,,,,,,,,
194.0,Mals,gre,greniern,Malgre,,,,,,,,,,,,,,,,,
195.0,Iardin,rdin,,,,,,,,,,,,,,,,,,,
196.0,Iiee,Ieehait,,,,,,,,,,,,,,,,,,,
197.0,guand,Quanl,estauand,uand,,,,,,,,,,,,,,,,,
198.0,mas ruinee,"rue
inclinee",Drnee,ostinee,tina,,,,,,,,,,,,,,,,
199.0,Croyez-,Voyez,Fuyez,,,,,,,,,,,,,,,,,,
200.0,Me-,calm6,calme-toi,,,,,,,,,,,,,,,,,,
201.0,Chinois,Inchit,Chine,,,,,,,,,,,,,,,,,,
202.0,peut-etre7,Attiree,attiree peut-etre,,,,,,,,,,,,,,,,,,
203.0,gane,Sachez,Ganaehe,laches,Ganache,,,,,,,,,,,,,,,,
204.0,eclore,Niolo,Lor,coloree,,,,,,,,,,,,,,,,,
205.0,h Julien,Julien,,,,,,,,,,,,,,,,,,,
206.0,Lltutes,fetes,tetes,betes,Tes,Etes,,,,,,,,,,,,,,,
207.0,"Ia 
neto",penetra,etreindre,nenetre,,,,,,,,,,,,,,,,,
208.0,noueau,hameau de,Vauds,beaudoup,,,,,,,,,,,,,,,,,
209.0,SesCiSea,repise ar n psesant,Pis,pise,,,,,,,,,,,,,,,,,
