cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
168,prostr—,T5,Prescrit,Proscrit,Le Proscrit,I,Prosp‘it,,,,,,,,,,,,,,,,,
169,Och,Ghe1che1,Riche,Lâches,Chemin,manche,Marches,Che1che,Séchez,,,,,,,,,,,,,,,
170,cette1nde,Cette,seuil de la maisonnette,,,,,,,,,,,,,,,,,,,,,
171,l\,l\maintenant,Maintenant,,,,,,,,,,,,,,,,,,,,,
172,latepelt,Halte,Tes,Hésites-,téte,ter1et,tete,sousﬂeter,Totem,Tels,Slïüîﬁte‘ﬂ.,,,,,,,,,,,,,
173,néces—,fort Accessité,Nécessité,"fort
Nécessité“","fort
Nécessité",fort Nécessité,fort de la Nécessité,fort Nécessite,fort n’,,,,,,,,,,,,,,,
174,mort”qui,Formé,horizon—,Corne-bœuf !,Orléans,for1êt,Or,New—York,,,,,,,,,,,,,,,,
175,ﬁ,ä'_;.,.-;.,.-;.—,,,,,,,,,,,,,,,,,,,,
176,Europe,Et1opéens,Euro-,Européens,,,,,,,,,,,,,,,,,,,,
177,diﬂé—,<,Iﬂ1,,,,,,,,,,,,,,,,,,,,,
178,plusiems,.Si,si',russie,Asie,,,,,,,,,,,,,,,,,,,
179,Sentinelle,serpentine,conti—,eﬁenti—,gentils—,bâti—,senti—,,,,,,,,,,,,,,,,,
180,.‘_.,.‘Ïbmwﬁëz‘w‘ï,.‘ﬂ,.‘.0,.‘Ç,,,,,,,,,,,,,,,,,,,
181,.—æ»r,AL.—\,‘a.—,gay.—mu,.—«=,.—n,uv.—,,,,,,,,,,,,,,,,,
182,appré—,tombé—,Aprés,pré—,repré—,,,,,,,,,,,,,,,,,,,
183,sv,d’,Rainèau- d’Or,d’Or,Hameau d’Or,,,,,,,,,,,,,,,,,,,
184,L1V—,L1v,R1VÊRE,v-,L1V-,,,,,,,,,,,,,,,,,,,
185,m’,J e m’,,,,,,,,,,,,,,,,,,,,,,
186,im11artiste,Castel,Sans-Piste,triSte,Piste,,,,,,,,,,,,,,,,,,,
187,Mæ;ﬁe,ﬁerté,Ferney,signiﬁer,conﬁer,ﬁer,,,,,,,,,,,,,,,,,,
188,"äræætr—

s==,.—.=——_a",———-:--—.-—-,v—.———V-,F—çv————Duæe_a,w———————«——-,,,,,,,,,,,,,,,,,,,
189,regard ﬁde,Bigar,Beauregard,Regardez,tardes-Lu,regardez,garderai,,,,,,,,,,,,,,,,,
190,Cîest,G‘est,1est1d11e,estonie,estici,sées,Est—ce,Est,,,,,,,,,,,,,,,,
191,réplique-H,Mexique,Karnac celtique,Expliquez-,Explique,golfe du Mexique,,,,,,,,,,,,,,,,,,
192,sailles,Ail,onﬁcier de Versailles,Versailles,diversifi',de Versailles,,,,,,,,,,,,,,,,,,
193,u)f“,mur—,Muc-za,au)mur,,,,,,,,,,,,,,,,,,,,
194,discré—,"discré—
| tion",,,,,,,,,,,,,,,,,,,,,,
195,achar—,lâche—,détache—,Le sachem,ache—,,,,,,,,,,,,,,,,,,,
196,Pélage,Agis,Visages—Pâles,Visageé-Pûles,aù‘visage,Visages,,,,,,,,,,,,,,,,,,
197,involontaire—,auhapitaine,Ouïe-Fine,certain—,chine,Seine,taine,"capi—
taine",tait—,récriminel,,,,,,,,,,,,,,
198,T,ﬁde,Be1ge1,De1sa1les,de1,e1it,,,,,,,,,,,,,,,,,,
199,nonchalant—,noncha—,,,,,,,,,,,,,,,,,,,,,,
200,malheur—,"demeura -

 

 

 

 

-1HOVAHÇ",Créateur,demeur—,,,,,,,,,,,,,,,,,,,,
201,crois—,Sois,crois,Crois,ape1çois,,,,,,,,,,,,,,,,,,,
202,cap des Monts-Pelés,"rivière de
Montmorency",M.— de Jeumont11e,Montm1e.noy,brandîassaut des torches,Saut de Montmorency,,,,,,,,,,,,,,,,,,
203,Loups-Hurons,Huron,Hurons,,,,,,,,,,,,,,,,,,,,,
204,arabe',appara—,Niagara,Camarades,marmara,mara—,,,,,,,,,,,,,,,,,,
205,empresse—,expres—,lettres—,pres—,"lèvres,—",,,,,,,,,,,,,,,,,,,
206,uuwçW’«W,"f‘1‘»"".a",a\:‘1,Uu‘1,ou‘d,,,,,,,,,,,,,,,,,,,
207,normandes,Charmante,Armand,,,,,,,,,,,,,,,,,,,,,
208,".,-",Villiersïyïdéposa,s’allier,"Villiers,- agissez",Vil,pers0nn9,Villiem,"Villiers,-",,,,,,,,,,,,,,,,
209,"Risque—
l‘ont",Bisquetout,Risque,,,,,,,,,,,,,,,,,,,,,
210,bouillonna,la feuillée,Oui,Bouillon,,,,,,,,,,,,,,,,,,,,
211,Î ’ ',l‘assassin,Assis,Mississipi,,,,,,,,,,,,,,,,,,,,
212,"\‘,'i’",raison—,baie d’Hudson,Alo1s b1sons,son111e,"son,'c’",Son,Sonne,,,,,,,,,,,,,,,,
213,habitué,habi—,,,,,,,,,,,,,,,,,,,,,,
214,wæ4W,DV,,,,,,,,,,,,,,,,,,,,,,
215,manset,Anse—aux-Marigots,Anse-aux-,L:.se-,Marigots,Anse-aux-Marigots,,,,,,,,,,,,,,,,,,
216,créances,"puis—
sance",Franchement,Francais,la France,roi de France,France,,,,,,,,,,,,,,,,,
217,exag—;pérée,exag—,,,,,,,,,,,,,,,,,,,,,,
218,ol‘re,L‘aventurier,L‘autre,l‘agonie,l‘ai,l‘a,l‘arbre,,,,,,,,,,,,,,,,,
219,Eh,æ—u.,"Wﬂ—üv‘üﬁﬂ""ﬁä",b*ﬂﬁﬂræ—?x,,,,,,,,,,,,,,,,,,,,
220,mæv+mæa,VÏ,æaæ,“-æa,,,,,,,,,,,,,,,,,,,,
221,s’arrêta,s’appuyer,baton—,s’,s’abat,,,,,,,,,,,,,,,,,,,
222,Beviendrez,Pendre,Ogre,Prends,Londres,Apprenez,apprendrez,appr—,,,,,,,,,,,,,,,,
223,besogne,espi—,Espagnol,d’Espagne,Espagne,,,,,,,,,,,,,,,,,,,
