text,cluster,cluster_corrected
resume,67.0,
cruaut,68.0,
chteau,68.0,
beaut,68.0,
reuni,69.0,
bruni,69.0,
uniLAT,69.0,
A Henri,70.0,
mer d'Aow,70.0,
mer d'Henri,70.0,
Tabieh Mauri,71.0,
Subie,71.0,
Fabien,71.0,
chine,72.0,
telegruphie,72.0,
Dauphine,72.0,
La France,73.0,
Sincere,73.0,
ERRANCE,73.0,
de France,73.0,
ESPEnRANCE,73.0,
College de France,73.0,
N0VEILL E8RANCE,73.0,
france,73.0,
Marseillaise,74.0,
Suisse,74.0,
Anglais,74.0,
clair6,74.0,
Laisse,74.0,
ecoliers,75.0,
perse,75.0,
Anatolie,75.0,
.--.310,76.0,
G-.--,76.0,
Leurs-,77.0,
deUrope,77.0,
vecu,78.0,
G:;avan,78.0,
avaitvecu,78.0,
Mossoul,79.0,
cIT',79.0,
souffrait',79.0,
attirAit,79.0,
sentimentale,80.0,
Boheme,80.0,
Comment,80.0,
Singulierement,80.0,
gauchement,80.0,
A chemine,80.0,
Lausanne,81.0,
extreme,81.0,
treizieme annee,81.0,
ESPIiRANCE,82.0,
BSPfnRANC,82.0,
iran,82.0,
N0JUILLET ESPfEnRANCE,82.0,
ESPfiRANCL,82.0,
"II
H
I",83.0,
"II
I
LA",83.0,
"II
I",83.0,
Remonter,84.0,
Somone,84.0,
- Montez,84.0,
crmonie,84.0,
Amont,84.0,
tetu,85.0,
tete college,85.0,
bete,85.0,
Compte d'une Societe,85.0,
tete,85.0,
Curieuse,86.0,
creuse,86.0,
e1SeS,86.0,
religieuses.7,86.0,
cahors,,
Rozel,,
T3,,
A8,,
y-,,
E,,
H,,
II,,
A38,,
ca,,
oi,,
posees,,
L---,,
A9,,
le230,,
I,,
N0,,
vde,,
A07,,
i-.LA,,
t4  LA,,
volupt,,
A,,
A92,,
Nb6us,,
N,,
lez,,
J6-,,
caf,,
Cest,,
A6,,
amiti6,,
au-,,
Ia2,,
Il1,,
num0ns,,
A335,,
S,,
z.,,
UN,,
",,",,
1-,,
ar-,,
J',,
Eiyse,,
A3,,
a7,,
LI,,
Bovary,,
v0US,,
A1,,
A30,,
Anzin,,
Is,,
la252,,
A55,,
