cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
91.0,Devonshire,Rome,Somersetshire,Wiltshire,Yorkshire and Somersetshire,Yorkshire,,,,,
92.0,the Red Book,Desert,red scarfs,Red,Scarce,Red Seas,,,,,
93.0,Gaunt-square,Great Britain,Great Gaunt,Great Gaunt-,New Gaunt,Gaunt,Great Gaunt Street,,,,
94.0,Balcony,Golconda,,,,,,,,,
95.0,White Hermitage,WHITEFRIARS,Whitefriars,,,,,,,,
96.0,Cologne,Glenmalony,Polonia,Colony,archeologian,,,,,,
97.0,Boggleywollah,Bogglywollah,,,,,,,,,
98.0,Bagshot,china,China,Maraschino,,,,,,,
99.0,Richelieu,Richmond,,,,,,,,,
100.0,Rector,Quashyboos,Cato,Quatorze,Vittoria,History,,,,,
101.0,Compare,Pompeii,Pompadour,,,,,,,,
102.0,n’t,in’t,,,,,,,,,
103.0,Oystherstown,Booth,Booterstown,,,,,,,,
104.0,the Residence of Madame,Providence,Provence,,,,,,,,
105.0,Amelia,Camelot,Dearest Amelia,Dearest,,,,,,,
106.0,Combat,Vienna,Batavier,,,,,,,,
107.0,Edinburgh,golden auburn,Muddleton,Highbury Barn,Canterbury,Mudbury,,,,,
108.0,St.James’s Park,Park,"Park
Lane",Ofcaane,,,,,,,
109.0,Holland,Old England,Ireland,England,blanc,Shetland,Flanders,Switzerland,Scotland,inn-land-,Except Ireland
110.0,essie,Kissing,kiss,,,,,,,,
111.0,Babylon,Bullock,Shylock,,,,,,,,
112.0,Cornhill,Moscow,Corner,Scorned,Borne,Cornelia,,,,,
113.0,Point-,Flint,Belinda,,,,,,,,
114.0,¢found,New,Newfoundland,,,,,,,,
115.0,Chatham,CHATHAM,,,,,,,,,
116.0,St. Pitt’s,St. Kitts,St. Petersburg,St. Mary’s,St. Helen,St. Paul’s,St.,St. Pancras,,,
117.0,the H. H.,Hyde Park,the Hyde Park,,,,,,,,
118.0,the Prince of Wales’s,the Prince Regent,Wales,the Prince of Wales,,,,,,,
119.0,Enjoy,Joy.,Joy,,,,,,,,
120.0,Continent,Contact,,,,,,,,,
121.0,fort,Brentford,Forlorn,Oxford,,,,,,,
122.0,Bordeaux,beaux,,,,,,,,,
123.0,Mount St.,the County Dark,Viscount Hellborough,County Mildred,Mount,County,,,,,
124.0,Swamp Town,swan,Swamptown,"Swamp Town
Gazette",Gazette,,,,,,
125.0,the Green Avenue,Harwich,Greece,Dulwich,Greenwich,Greenwood,,,,,
126.0,Brazil,Grand Uncle,Brandon,Abandon,,,,,,,
127.0,the New Road,the dark sea,the Dreams Roads,,,,,,,,
128.0,"St. John’s
Wood","Mount
St. John",St. Just,St. John’s,,,,,,,
129.0,Windsor,the West Ladies,the West Winds,,,,,,,,
130.0,Curzon,curacao,,,,,,,,,
131.0,Coventry Island,Coventry,"Coventry
Island",,,,,,,,
132.0,Porteus,Portsmouth,Portland,Portansherry,Port,,,,,,
133.0,Coursing,Humours,NURSE,Ours,,,,,,,
134.0,&.—Miss,Miss,Miss.,,,,,,,,
135.0,Kalydor,Peterwaradin,Caradori,,,,,,,,
136.0,Venus,Nile,Silenus,,,,,,,,
