text,cluster,cluster_corrected
Demerara,75.0,
Geran,75.0,
perseverancc,75.0,
Geueral,75.0,
nnd,76.0,
nda,76.0,
Mirnnda,76.0,
Miafortune,77.0,
fort,77.0,
Fort Schwagerl,77.0,
pule,77.0,
Lnura,78.0,
Luura,78.0,
Pilt,79.0,
Cupil,79.0,
Jupiter,79.0,
Mango,80.0,
oman,80.0,
Germany,80.0,
pomatum,80.0,
Manmma,80.0,
Piccadilly,81.0,
Ill,81.0,
Cornhill,81.0,
Ill.,81.0,
Rel Seas,82.0,
Servt,82.0,
thein,82.0,
"their eonfidential servants,-so",82.0,
Hants,82.0,
bce sentimcntal,82.0,
Jos,83.0,
"suffers,-and",83.0,
"Jos,-and",83.0,
"night,-and",83.0,
us City,84.0,
City,84.0,
ths City,84.0,
thc city,84.0,
Feasting,85.0,
Destiny,85.0,
East,85.0,
Jingo,85.0,
Amcelia,86.0,
Anelia,86.0,
Armelia,86.0,
Aielia,86.0,
Aelia,86.0,
Amelia,86.0,
Melia,86.0,
MAmelia,86.0,
Auelia,86.0,
melia,86.0,
mel,86.0,
Mmelia,86.0,
Mmeli,86.0,
lelia,86.0,
Lndy Amelia,86.0,
Nsjor,87.0,
Meejor,87.0,
Msjor,87.0,
Major,87.0,
Nnpoleon,88.0,
Nanoleon,88.0,
Pnris,89.0,
Moorish,89.0,
Irishwomn,89.0,
Gauut,90.0,
auut,90.0,
beaux,91.0,
Bordeaux,91.0,
Eaut,91.0,
"St.
aul's",92.0,
St. Peter's,92.0,
St. Paul's,92.0,
St. Paneras,92.0,
West,93.0,
West End Swell,93.0,
West End,93.0,
the West End,93.0,
Rowlnand,94.0,
Scotland,94.0,
Ireland,94.0,
Shetland,94.0,
Flanders,94.0,
Sheba,94.0,
Newfoundland,94.0,
Shehas,94.0,
Sootland,94.0,
Portland,94.0,
Bogglywollah,95.0,
Holland,95.0,
Hollyock,95.0,
Mlelulla,95.0,
Saint Helena,96.0,
Saint IIelena,96.0,
St. Helena,96.0,
Saint Jean,96.0,
Mount Saint John,96.0,
Suint Helena,96.0,
Prague,97.0,
ueen,97.0,
Gueen,97.0,
Orlenns,98.0,
New Orleans,98.0,
Orleans,98.0,
the Duke of Orleans,98.0,
Egnlite Orleans,98.0,
Eagles,99.0,
eagles,99.0,
lrighton,100.0,
Brighton,100.0,
Briglton,100.0,
Cashmere,101.0,
nnswerel,101.0,
Wlere,101.0,
"ceremony,-I",101.0,
Portlnnd Place,102.0,
Porteus,102.0,
Port,102.0,
Portansherry,102.0,
the West Inies,103.0,
West Indian,103.0,
the West Indics,103.0,
the West Indies,103.0,
the West Inlies,103.0,
West Indies,103.0,
"the West
Eul-Capting Ragg",103.0,
West India,103.0,
Icst,103.0,
Fulam Road West,103.0,
"Kensington
Gardens",104.0,
Kensington Gardens,104.0,
Kensington,104.0,
kensington Gardens,104.0,
"dnys,-",105.0,
nys,105.0,
lEurope,106.0,
Europe,106.0,
Lurope,106.0,
Fuddleston,107.0,
Osbaldiston,107.0,
Buxton,107.0,
Alton,107.0,
Darton,107.0,
Manton,107.0,
PINETON,107.0,
Stilton,107.0,
personasge,108.0,
Persia,108.0,
Perigord,108.0,
Perhnps,108.0,
Opera,108.0,
Ms'am,109.0,
Ma'am,109.0,
withont,110.0,
Thomson,110.0,
thou,110.0,
thosc,110.0,
Houri,110.0,
Booterstown,111.0,
Oystherstown,111.0,
abrond libcrally,112.0,
Bronet,112.0,
Baronet,112.0,
bucekskins,113.0,
pekin,113.0,
instructiug,113.0,
Miss.,114.0,
kiss,114.0,
Mliss,114.0,
Hnd Relccca's,115.0,
Relccca,115.0,
Ielccca,115.0,
Glorvinn,116.0,
Glorvina,116.0,
Glorina,116.0,
Glowry,116.0,
Salamanca,117.0,
Jamaic,117.0,
Bramah,117.0,
salut.,117.0,
Dobin,118.0,
Dob,118.0,
ye Dob,118.0,
chnmbermaid,119.0,
Camberwell,119.0,
Sambo,119.0,
"the City, Sir",120.0,
thie City,120.0,
1he city,120.0,
the Fre City of JudenstuIt,120.0,
tle City nt,120.0,
thce city,120.0,
the City:,120.0,
the City,120.0,
tle City,120.0,
the City of London,120.0,
Curzon,121.0,
Hart Street,121.0,
Greek Street,121.0,
Baker Street,121.0,
Curzon Street,121.0,
postre,121.0,
"Half Moon
Street",121.0,
mistrees,121.0,
Dresden,122.0,
denr,122.0,
Denr,122.0,
Denth,122.0,
wonld,123.0,
wonlerful,123.0,
chieerful,123.0,
china,124.0,
China,124.0,
Hawaon,125.0,
awarl,125.0,
lEarl,125.0,
Euarl,125.0,
Iahimo,126.0,
Good Gol,126.0,
Oliseick,126.0,
Goliah,126.0,
Cecilia,126.0,
Inlia,126.0,
Nuthan,127.0,
Southanpton Row,127.0,
Southampton,127.0,
Southampton Gaol,127.0,
South-,127.0,
Southamptou,127.0,
Southampton Row,127.0,
Roehampton,127.0,
lEngland,128.0,
Englad,128.0,
Old England,128.0,
England,128.0,
Englanl,128.0,
Lngland,128.0,
nglanl.,128.0,
Rawdon,129.0,
llawdon,129.0,
kawdon,129.0,
Iodon,129.0,
Rnwdon,129.0,
Don Juan,129.0,
wdon,129.0,
"Hawdon
nnd",129.0,
York,130.0,
hwve yoeu,130.0,
New York,130.0,
Pump,131.0,
Stumpy,131.0,
Thrump,131.0,
handkerchiefs,132.0,
mo thie,132.0,
THIE P1YIILY,132.0,
HIE0,132.0,
swan,132.0,
"Yis
l
l
- .",133.0,
"L
l
e.",133.0,
"L
L",133.0,
Captsin,134.0,
Cnptsin,134.0,
Dnblin,135.0,
Dublin,135.0,
linendraer,135.0,
Dubliu,135.0,
Somersetshire,136.0,
Yorkshire,136.0,
Hnmshire,136.0,
Devonshire,136.0,
sunshine ns,136.0,
Buckinghamshire,136.0,
Wiltshire,136.0,
Crmrthenshire,136.0,
M.P.,137.0,
M.P,137.0,
Freneh,138.0,
Frenchmnan,138.0,
Frenchwoan,138.0,
Frenchmen,138.0,
Trssarenc,138.0,
Frenchi,138.0,
Trenck,138.0,
Grcat Gaunt Street,139.0,
Great Gaunt Street,139.0,
Great Gaunt-,139.0,
Mount St.,139.0,
Gaunt Street,139.0,
Great Gaunt Strcet,139.0,
M1AEPIEA,140.0,
Gillespie,140.0,
Versailles,140.0,
Achilles,140.0,
Billingsgate,141.0,
Ramsgate,141.0,
Margate,141.0,
Pulaee,142.0,
plaee,142.0,
Bethesda Place,142.0,
Moira Plaee,142.0,
Transpareney,143.0,
Parc,143.0,
ark,143.0,
Park,143.0,
"Park
Lane",143.0,
paragon,143.0,
Hyle Park,143.0,
Hyde Park,143.0,
golden auburn,144.0,
Punjaub,144.0,
Stadthnus,145.0,
Bierstadt,145.0,
iu London,146.0,
Londou,146.0,
Londonderry,146.0,
London,146.0,
london,146.0,
LONDON,146.0,
Bois,147.0,
Boulognef,147.0,
Bois de Boulogne,147.0,
"Bois de
Boulogne",147.0,
Boulogne,147.0,
"Bouleard de
Gand",147.0,
Cologne,147.0,
Chapelle,148.0,
Chaffers,148.0,
pcrhaps,148.0,
Chapels,148.0,
the Blaek Hole,149.0,
the Red Baook,149.0,
the Ale-Verle,149.0,
the Valley of Diamonds,149.0,
the Bay,149.0,
the dark sea,149.0,
the Boule d'Or,149.0,
the St. Leger,149.0,
the Insuranee Offios,149.0,
the H. H.,149.0,
the Magic Flute,149.0,
the Grand Mogl,149.0,
the Artlur of her day,149.0,
the New Road,149.0,
"the ivory
hamer",149.0,
the Arabian Nights,149.0,
MIichael,150.0,
Dulwich,150.0,
bDulin,150.0,
Greenwich,150.0,
Recbecca,151.0,
Rcbecea,151.0,
Rcbecca,151.0,
Ilcbecca,151.0,
Lcipzig,152.0,
Begleitung,152.0,
Leipzig,152.0,
wasa,153.0,
Moseow,153.0,
Moscow,153.0,
Knightsbridge,154.0,
Cambridge,154.0,
Cnnbridge,154.0,
Butc,155.0,
Butler,155.0,
Seeretary,156.0,
seeret,156.0,
Iereditary,156.0,
Firin,157.0,
Charing,157.0,
Maria,157.0,
Mareh,157.0,
Marin,157.0,
"Hushl
sileneel",158.0,
Yenus,158.0,
Silenus,158.0,
Legaey,158.0,
Venus,158.0,
ns wc,159.0,
ns sle,159.0,
Canada,160.0,
Valencicnnes,160.0,
Lausanne,160.0,
Cannes,160.0,
Lndies,161.0,
lalies,161.0,
Pineries,161.0,
Miesty,161.0,
Sereuities,161.0,
lBritish,162.0,
bBritish,162.0,
British Boulogne,162.0,
the Britisl female,162.0,
Crawlcey,163.0,
Hawdon Crawley,163.0,
Crasley,163.0,
Laly Crawley,163.0,
Lndy Crawley,163.0,
ns Crawley,163.0,
"Lsdy
Crawley",163.0,
Lidy Crawley,163.0,
Crawley,163.0,
Crawlcey avenue,163.0,
Crnwley,163.0,
"Cnptain
Dobbsin",164.0,
obtainel,164.0,
Cnaptain,164.0,
Cuptain,164.0,
Pountain,164.0,
Mairas,165.0,
aflairs tn,165.0,
"Wapping Old
Btairs",165.0,
Fairs,165.0,
Iirst,165.0,
the Mnrquis of,166.0,
Marquuis,166.0,
Marquisl,166.0,
Mnrquis,166.0,
St. Kitt's,167.0,
Saint Kitts,167.0,
St. Kitts,167.0,
Grady,168.0,
Geograply,168.0,
Gray,168.0,
Grays Inn,168.0,
lng,169.0,
Lnglish,169.0,
lis cen,169.0,
a few lincs,170.0,
Snch,170.0,
HLEBO,170.0,
Finchley,170.0,
realy,171.0,
Italy,171.0,
Laly,171.0,
oaly,171.0,
Ialy,171.0,
Kalydor,171.0,
Beek,172.0,
Beeky,172.0,
Peer,173.0,
Peerage,173.0,
the Peerage of Ireland,173.0,
RBengal,174.0,
Bcngal,174.0,
Kangaroo,174.0,
Bengal,174.0,
Molasses,175.0,
Nassau,175.0,
las,175.0,
"Coventry
Island",176.0,
the Cannibal Islands,176.0,
Long Island,176.0,
Coventry,176.0,
Coventry Island,176.0,
eTry,176.0,
Laly Emily,177.0,
Iamily,177.0,
Jais,178.0,
Mlonplaisir,178.0,
Culais,178.0,
lBoth,179.0,
whitherP,179.0,
Therc,179.0,
nnother,179.0,
brother--,179.0,
Omplle,180.0,
nolle,180.0,
LLLLE,180.0,
calle,180.0,
Squills,181.0,
Esquire,181.0,
