cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
42,cherchais,coucher,Archevêque,Cher,heïn,cher,t’'empêche,châtaigners,chaperon,HE,Chevalier,Herbigny,cherie,Pécheur,Boucher,Long-Rocher,Rochefort,,,,,,,,,,,,,
43,Polisson,Apollonie,La Polonaise,Polonais,"quai Napo-
léon",Béarnais,Œrnais,Connais,Polonaise,,,,,,,,,,,,,,,,,,,,,
44,Institut,sinthe,IN,edingote,Omin,nankin,Baslin,Singu-,tinu,Rossini,gasin,Meinte,Inde,In,hein,,,,,,,,,,,,,,,
45,-Ærédéric,Frédéricæ,Frédéric,Frédérie,Frédécic,Frédé-,Frédéricnew,,,,,,,,,,,,,,,,,,,,,,,
46,Etat,Catau,yatagans',État,Étretat,Etavec,,,,,,,,,,,,,,,,,,,,,,,,
47,Merait,Lerrait,Menait,Dittmer,,,,,,,,,,,,,,,,,,,,,,,,,,
48,rue Saint-Dominique,rue Saint-Victor,É,porte Saint-Denis,rue Saint-Jacques,rue Saint-Denis,rue Sainte-Anne,rue Saint-Anne,de Saint-Denis,rue Saint-Honoré,boulevard Saint-Denis,,,,,,,,,,,,,,,,,,,
49,ws’,s’,s’exalter,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,la Tournelle,Métour,Tournez,prnez,Letourneur,Tournelle,ourgogne,,,,,,,,,,,,,,,,,,,,,,,
51,la Seine,Seine,La Seine,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,sesi,Desolmes,Hespérides,Mtes,Es,Troyes,Léloges,Armes,corées,Tues,Mesdames,ixes,Presles,sxes,Dame-des-Victoires,Où es,Alpes,Sèvres,Lesurques,Ormes,salle-des-fêtes,,,,,,,,,
53,L'Olympe,ampe,Jampes,Peuh,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Fré-,Pé-,Delmar,Margot,Maré-,la Maré-,,,,,,,,,,,,,,,,,,,,,,,,
55,Champ-de-Mars,Champ de Mars,"Champ de
Mars","Champ
e Mars",,,,,,,,,,,,,,,,,,,,,,,,,,
56,Louvre,Au Louvre,collections du Louvre,au Louvre,dôme du Louvre,,,,,,,,,,,,,,,,,,,,,,,,,
57,quan,Lquante,Muant,Lquante-trois journaux,Miquand,Quarante,,,,,,,,,,,,,,,,,,,,,,,,
58,Bœuf,A Elbœuf,Marbœuf,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,d’un songe,Mson,so,Sombaz,So-,"VI

Son",,,,,,,,,,,,,,,,,,,,,,,,
60,hôtel du Commerce,Comment,Somme,ommença,La somme,l’'Almanach du Commerce,nn dôme,,,,,,,,,,,,,,,,,,,,,,,
61,Reynolds,Ilreprit,Vêpres,Mitre,Prends,Pre,Premières,,,,,,,,,,,,,,,,,,,,,,,
62,convaineus,Comaing,ain,Fontainebleau,"se-
maine",& Madeleine,maine,Mamartine,horaines,Lorraine,Madeleine,Comédie humaine !,,,,,,,,,,,,,,,,,,
63,beancans,mans,Mormans,Mans,expansif,Considérant,Mably,Ma-,Orléans,Maman,Aïnsi,,,,,,,,,,,,,,,,,,,
64,Atala,Législative,vila,lat,At,Révélation,Ne Gate,,,,,,,,,,,,,,,,,,,,,,,
