cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
231,Loin-llocher,Loin-,Deloin,Enfin-,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Savoyard,Garde-Meubles,Gardes,Garde-,chicards,Niagara,Gaspardo,gard,regardit,gargon,rd,Regardez,,,,,,,,,,,,,,,,,,,
233,toil,Voilh,Voila,Voici-,voilh,Voili,voy1je,Voil,VOilà-,,,,,,,,,,,,,,,,,,,,,,
234,Francais,caises,Irangcaise,Frangcuais,Irangaise,Comedie-Francaise,Buzancais,Francaise,,,,,,,,,,,,,,,,,,,,,,,
235,e--3,d6bordes  o,Bordeaux,Frde-,gorge-de-pigeon,Borde-,AborD,,,,,,,,,,,,,,,,,,,,,,,,
236,poussibere,Iou-,Pour-,appouva,Pourquoi t'acharnes,pouIr,pouR,po,Pouce,Pou,,,,,,,,,,,,,,,,,,,,,
237,Propriete,Privilge,comprilt,prolilt,prilt,PRie-,,,,,,,,,,,,,,,,,,,,,,,,,
238,desert,raudes,bDe,Dej,cuyde,lumides,de382,tibde,par-dessus des,Desde,,,,,,,,,,,,,,,,,,,,,
239,".,-",a.-,"T,'",".,'.-",,,,,,,,,,,,,,,,,,,,,,,,,,,
240,tempete,as achete,bete,tete-a-tête,tetes,Iratevnite,secousses de tete,J'ai ete,ttete,lachete,hochantla tete,qutete,bete-lh,fort honnete,Maternite,ttetc,casqtette,tete,tetel,,,,,,,,,,,,
241,Parquet,piquees,ourquoi,polytcchnique,Bouquet-,frequen,legiaques,Rque,marquede,pUisque-nique,ctsques,Turque,,,,,,,,,,,,,,,,,,,
242,Iyve,le Iyve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,lticn,bibicle,picd,cn,biographics,mathmaticicn,bicn,Vicns,,,,,,,,,,,,,,,,,,,,,,,
244,musee de Versailles,perail,transfrer  Versailles,Versailles,ravailleurs,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Cisy 2,m6ci-,ciseax,precise,Cisy,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Liban,oulrageante,Bacchante,Balandard,Barante,Quarante,Irayante,,,,,,,,,,,,,,,,,,,,,,,,
247,Lamoricire,Or6d6ric,Fr6dic,lhorizon,Madrid,Or6l6ici,Or6,Or6dric,,,,,,,,,,,,,,,,,,,,,,,
248,"z
 AH",bah,- AH,BAh,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Regence,Conference,Corbeil,eNcore-,enCore-,,,,,,,,,,,,,,,,,,,,,,,,,,
250,h Martinon,guargon,Lnmartine,Martinon,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,pâle-mtle,baionnetles,Etle,Toutle,glee,pcuple,decoraitles,lexislence,ttle,outle,le-,tle,,,,,,,,,,,,,,,,,,,
252,Il1,le soleil,ILes,lesiusils,YVIIle sibcle,Ccile,Iler-,leil,soufIle,"Eau-
gile",chile,IL,Cecile,ILe,,,,,,,,,,,,,,,,,
253,Ptisserie,connaissez?n,Pere-Lachaise,serieux,baissee,aisserie,,,,,,,,,,,,,,,,,,,,,,,,,
254,garles nationaux,EDUCATION,Irequcntation,Dsualtevnisation,iDUCATION,"musique20
L' i:nUCATIoN",ÉDucATIon0N,constitucion de Ca-,EDUCATIoN,EnUCTIoN,nUCATION,,,,,,,,,,,,,,,,,,,,
255,-  Tenezl,fenclre,Comprenez,enlra,Prenez gardel,lrenez,,,,,,,,,,,,,,,,,,,,,,,,,
256,portunt,Sortezl,Iort,"dortoir,18
L' i",cortge,,,,,,,,,,,,,,,,,,,,,,,,,,
257,I17,17T1,T10N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,aprs-midi,Aprbs,Progrs,quaprs,auprs,exprs,Aprs,,,,,,,,,,,,,,,,,,,,,,,,
259,rue de Laval,pont de la Boucherie,rue de l'Arcade,rue de la Paix,place de la Bourse,blonde l,"tic-tac de la
cnlule",Cygne de la Cvroiz,rue de Rivoli,"rue de la Ferme ? 
-  Mon Dieul",rue de la Ferme,rue Tronchet,lidolatrie imbecile del',place de la Concorde,"aH -
voir larrive de l'oncle Barthelemy",seuil de la lorette,Ohe l,"Dittmer-la
et je paye tout",vtue de nankin,rue de la Ferme et de la rue Tronchet,,,,,,,,,,,
260,b6-,d6-,"l6-
clara",l6-,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Luxembourg,P,Mlurchux,Luxem-,Luxembour,,,,,,,,,,,,,,,,,,,,,,,,,,
262,L1ENTRER,fenttres,fe,Presilent,trentel,ppieres entrc-chose,fentres,- TRente-sept,,,,,,,,,,,,,,,,,,,,,,,
263,Athee,Parthenon,Mrthe,MP Berthelmot,Cuthe-,Marthene,Mlle Marthc,Ile Marthe,Marthe,,,,,,,,,,,,,,,,,,,,,,
264,affranchiront,ont1,Ironcrent,Giron-,pont Royal,Contraire,Iiront,frontire du kRhin,Iront,,,,,,,,,,,,,,,,,,,,,,
265,Mlle Vatnaz,Vatnazl,Vutnaz,Vatnaz,Vntnaz,,,,,,,,,,,,,,,,,,,,,,,,,,
266,La revocation du general Changarnier,Change,Changar-,Mlichiel-Ange,O,Changarnier,,,,,,,,,,,,,,,,,,,,,,,,,
267,Poissonniere,rue Paradis-Poissonnibre,Poisson-,nibce,Poissonnibre,,,,,,,,,,,,,,,,,,,,,,,,,,
268,.'etre,ctre,avaitrecu,pltre,v0être,Unlustre,abaltre,geomtre,vtre,Ministre,n0être,Mattre,êtrE,meltre,,,,,,,,,,,,,,,,,
269,Revo-,quai Voltaire,revolta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Eux-tu m'ecouter,Ecoutez-,Ecoutez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Bourse,journce,Anjou,veloursl,Aujourd-,toujoursl,,,,,,,,,,,,,,,,,,,,,,,,,
272,SENTIMIENTA,SENTIMINTAILE,sETIMIENTALE,SENTIMIE,SaINT1MIENTALE,l1Orient,SENTI MIENTALE,SENTIENTALE,NTIIENTA,Ient,sSENTIMIENTALE,sENTIMIENTALE,,,,,,,,,,,,,,,,,,,
273,AIfaires-Etrangeres,proletaire,AIfaires-Etrangres,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Notre-Dame-des-Victoires,Notrc-Dame,Notre-,notre7,Notre-Dume,"rue Notre-
Dame-des-Victoires",Notre-Dame,,,,,,,,,,,,,,,,,,,,,,,,
275,laigrette,lgre,La Fougre,ngres,Malgre,gre,,,,,,,,,,,,,,,,,,,,,,,,,
276,Bonsoir,-  Conservons-les,onservatoire,Conservatoire,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,examinaicnt,Oricnt,l'argecntl,sentan,ctaicnt,manquaicnt,secouaicnt,accusuicnt,appuicnt,couronnaicnt,Ctaient,reprenaicnt,cntra,amenaicnt,sentaicnt,,,,,,,,,,,,,,,,
