cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
280.0,moiselle,mademoisoelle,mademoiselle,Malemoiselle,,,,,,,,,,,,,,,,
281.0,lgre,Malgre,La Fougre,gre,,,,,,,,,,,,,,,,
282.0,CA TI0N,iEncATI0N,Cate,LinUCCATIN,CATI0UN,TI0N,EDcATI0N,EUcATI0N,UCcATI0N,UcATI0N,"par-l.
L' iDUCCATI0N",fncATI0N,,,,,,,,
283.0,Nuit,IL L,"maltresse1 Il
 La Nuit",,,,,,,,,,,,,,,,,
284.0,Toyes,naiyes,Troyes,ployes,deplorer,noyees,,,,,,,,,,,,,,
285.0,serpillire,Molire,dlire,,,,,,,,,,,,,,,,,
286.0,matu,mathmaticicn,natuie,,,,,,,,,,,,,,,,,
287.0,Mai-,MAIs,jaais,Maisje,Jamais,,,,,,,,,,,,,,,
288.0,levit,svit,,,,,,,,,,,,,,,,,,
289.0,kRhin,frontire du kRhin,le Rhin,,,,,,,,,,,,,,,,,
290.0,pauvrejeune,Huvre,euvre,,,,,,,,,,,,,,,,,
291.0,Lille,lille,Lillec,,,,,,,,,,,,,,,,,
292.0,Sene--,e--3,Senecal,,,,,,,,,,,,,,,,,
293.0,Arc de triomphe,Arc de triomphe un cheval mort,,,,,,,,,,,,,,,,,,
294.0,Gauloises,Vulois,Gaulois,,,,,,,,,,,,,,,,,
295.0,Con-,Concoit,congediee,macons,deu garcons iatigues,conita,Con,econduisailt,,,,,,,,,,,,
296.0,Dbarleuse,Iou-,Iouleuses,couleuu,,,,,,,,,,,,,,,,
297.0,decoraitles,reverraitl,reverbresL,,,,,,,,,,,,,,,,,
298.0,illusionsl,Conslitulion,Oublions,,,,,,,,,,,,,,,,,
299.0,marquede,Turque,Lesurques,Rque,frequen,Parquet,,,,,,,,,,,,,,
300.0,emouvoir,Pouvoir,louvoir,,,,,,,,,,,,,,,,,
301.0,camelias,camlias,Plilias,,,,,,,,,,,,,,,,,
302.0,Ecosse,Colosse,grosse,Gros l,,,,,,,,,,,,,,,,
303.0,femmle,mme,recemmenf,Iemmecs,,,,,,,,,,,,,,,,
304.0,Part,Flabart,Lartiste,ARTIELe,ecarta,Art,IArt,,,,,,,,,,,,,
305.0,cossais,Sait-tGervais,sais,,,,,,,,,,,,,,,,,
306.0,Ormes,Ilammes,"Armes,1",,,,,,,,,,,,,,,,,
307.0,Trocadro,Pomnadre,Gymnase,,,,,,,,,,,,,,,,,
308.0,grace,glacee,lace cramoisie,,,,,,,,,,,,,,,,,
309.0,eulemet,lemmcna,bleme,inegalemecnt,,,,,,,,,,,,,,,,
310.0,intertts,Montebello,Montereau,port le Montereau,,,,,,,,,,,,,,,,
311.0,Guizol,lhorizon,guipure,,,,,,,,,,,,,,,,,
312.0,Auvergne,Fouvens,Gouver-,Ver-,,,,,,,,,,,,,,,,
313.0,magistralture,Magis-,,,,,,,,,,,,,,,,,,
314.0,nglo-fSaxonnes,son32,pcrsonne,Letonnemnent,sonnelte,-  Personnel,Frisonne,tonnee,,,,,,,,,,,,
315.0,ttetc,Oter,tter,Cctte,,,,,,,,,,,,,,,,
316.0,Philosophie,losc,Los,,,,,,,,,,,,,,,,,
317.0,Pharamond,monl1e,Mondor,mondt,,,,,,,,,,,,,,,,
318.0,Damnbreuse,Dmbreuse,malleureuse,Ambigu,dcembre,Dambreuses,Cez les Dambreuse,Ambrecicourt,nterrompre M. Dambreuse,fosse de M. Dambreuse,Dambreuse,"Daibreuse:10
L",breuse,Mnis M. Dambreuse,Ambreuse,,,,,
319.0,turge,de Bourges,Bourgeoise,Hapsbourg,Bourse,Bourges,,,,,,,,,,,,,,
320.0,misre,Misericorde,Diablel,Miserables,Iavorable,,,,,,,,,,,,,,,
321.0,rue Rumfort,rue lumfort,Rumfort,lumfort,,,,,,,,,,,,,,,,
322.0,pre Roque,pre Hoque,,,,,,,,,,,,,,,,,,
323.0,Pradier,Adieuln,eul,adieul,,,,,,,,,,,,,,,,
324.0,Vrai,puncl inleliniment,Vraimentl,comnplimenter,,,,,,,,,,,,,,,,
325.0,constitucion de Ca-,Institut,lInstitut,,,,,,,,,,,,,,,,,
326.0,rue Paradis-Poissonnibre,nibce,Poissonniere,Poisson-,Poissonnibre,,,,,,,,,,,,,,,
327.0,mune,Melun,brune,supportailune,lune,forlune,,,,,,,,,,,,,,
328.0,Injustice,lticn,Clubstick,meticr,,,,,,,,,,,,,,,,
329.0,Negricr,vicux,Dcux,Burricu,Desgricux,Frlric,,,,,,,,,,,,,,
330.0,ont1,pont Royal,Dupont,Ponts,pont d'École,,,,,,,,,,,,,,,
331.0,chre,seucestochre do,cochre,,,,,,,,,,,,,,,,,
332.0,collbge,des collges,collge,collge de Sens,,,,,,,,,,,,,,,,
333.0,Iu reussiras,coussins,Russie,Cousin,poussibere,,,,,,,,,,,,,,,
334.0,ouvragcs,rs do,exprs,"exprs louvrage do
Gobet",,,,,,,,,,,,,,,,
335.0,la manche,Revanche,"jaun
blanches",manche,,,,,,,,,,,,,,,,
336.0,Pellerin,Pollerin,Catlerine,serin-L,ellerin,Poellerin,,,,,,,,,,,,,,
337.0,Theodore,dme du Pantheon,Panthon,Pantheon,,,,,,,,,,,,,,,,
338.0,Vincennes,rue Vivienne,aulgrienne,ancienne176,Vivienne,Vienne,,,,,,,,,,,,,,
339.0,alc0je,Plazot,plalcs,,,,,,,,,,,,,,,,,
340.0,iL N,IL n.,,,,,,,,,,,,,,,,,,
341.0,Causons,tablcaux,batcau,Gericault,,,,,,,,,,,,,,,,
342.0,Iiront,Ironcrent,Giron-,Iront,,,,,,,,,,,,,,,,
343.0,punch,Unc,unc,,,,,,,,,,,,,,,,,
344.0,celebrite,n(Cela,ceLA,,,,,,,,,,,,,,,,,
345.0,Bugcaud,le bulfet,le Bugcaud,,,,,,,,,,,,,,,,,
346.0,Pitie,moitie,Poitiers,lamitie,,,,,,,,,,,,,,,,
347.0,Sainte-Genevieve,Geneve,Eugene,,,,,,,,,,,,,,,,,
348.0,debout li-bus,Trone,troncons lde statuc,Boutron,Bout-,,,,,,,,,,,,,,,
349.0,Allemagne,Halles,Allez,Allemand,glee,allees,Emball,,,,,,,,,,,,,
350.0,Provi-,Avide,Providence,,,,,,,,,,,,,,,,,
351.0,EDUCATION,Rvolution,iDUCATION,Pvescrition,EDUCATIoN,Dsualtevnisation,nUCATION,"musique20
L' i:nUCATIoN",Irequcntation,garles nationaux,ÉDucATIon0N,,,,,,,,,
352.0,le France,Collge de France,esperance,Collige de France,La France,de France,"Ar-i
noux  trente mille francs",la France,,,,,,,,,,,,
353.0,elfraya,elfrne,,,,,,,,,,,,,,,,,,
354.0,faisaicnt,sentaicnt,appuicnt,secouaicnt,ctaicnt,manquaicnt,accusuicnt,emplissaicnt,Oricnt,,,,,,,,,,,
355.0,Or6merci,Fr6,Temercie,Fr6merci,,,,,,,,,,,,,,,,
356.0,Fr6lic,Or6leric,Fr6leric,,,,,,,,,,,,,,,,,
357.0,Chambres devraicnt,Chambre des deputes,Chambre des depules,accreditee depui,,,,,,,,,,,,,,,,
358.0,Le Citoyen,moyenl,-Y A-t-On,Citoyen,Le Citoyen epilogua,Citoyen etonne,Citoyens,,,,,,,,,,,,,
359.0,"cafe170
L",cafds,,,,,,,,,,,,,,,,,,
360.0,Mormans,Normandes,,,,,,,,,,,,,,,,,,
361.0,broussuilles,tuille,colonne de Juillet,ranquille,tranquille,,,,,,,,,,,,,,,
362.0,Constantinople,enfantlon,Enfantin,,,,,,,,,,,,,,,,,
363.0,Etretat,lEtat,kEtat,Etat,Letat,,,,,,,,,,,,,,,
364.0,lainc,ainirenl ie dnlagc,Cmpain,mnains,Américain,ain,,,,,,,,,,,,,,
365.0,Pareils,crepe,tombereitx,Creil,,,,,,,,,,,,,,,,
366.0,ceda,quartier Breda,Chbre,rue de Breda,Breda,,,,,,,,,,,,,,,
367.0,Avocat,Lavocat,,,,,,,,,,,,,,,,,,
368.0,au Havre,du Havre,gare du Havre,,,,,,,,,,,,,,,,,
369.0,C0autre,"v0autrE 
- MOi",Autre-,Lautre,autrcs,autrE,autre-vingts,,,,,,,,,,,,,
370.0,bDe,tibde,Tibi,,,,,,,,,,,,,,,,,
371.0,Ciu-.lars,dclara,l6-,"l6-
clara",,,,,,,,,,,,,,,,
372.0,Soci4ete,Societe,societc,"Societe des Fa-
milles",,,,,,,,,,,,,,,,
373.0,nir,Liban,bannire,bannibres,,,,,,,,,,,,,,,,
374.0,Troplong,hrume,on longca,Longjumeau,,,,,,,,,,,,,,,,
375.0,sSENTIMIENTALE,sETIMIENTALE,SENTIENTALE,SENTI MIENTALE,SENTIMINTAILE,SENTIMIE,sENTIMIENTALE,L'incATI0N sSENTIMIENTALE,SENTIMIENTA,SaINT1MIENTALE,,,,,,,,,,
376.0,Bertinaux,h Martinon,rue Caumartin,Martinon,Lnmartine,,,,,,,,,,,,,,,
377.0,Tournez,ldternelle,la Tournelle,Letourncur,Tournelle,,,,,,,,,,,,,,,
378.0,got,degot,,,,,,,,,,,,,,,,,,
379.0,Contraire,claira,Le Vicaire,Montataire,Iaire,Ordinaire,,,,,,,,,,,,,,
380.0,J'ai ete,tetes,secousses de tete,qutete,ttete,hochantla tete,tete,tetel,tete-a-tête,,,,,,,,,,,
381.0,comis-voyageu,voy1je,Voyait,Savoyard,,,,,,,,,,,,,,,,
382.0,Lembarras,Regim-,egimbart,J'ai dit Regimbartl,llegibart,lRegimbart,legimburt,Regimbart,Regimbartl,,,,,,,,,,,
383.0,- AH,"z
 AH",,,,,,,,,,,,,,,,,,
384.0,Bac,Bacchante,lentendant chanterl,,,,,,,,,,,,,,,,,
385.0,damas jaune,Maman,damas,,,,,,,,,,,,,,,,,
386.0,h Deslau-,Decslau-,Deslau-,,,,,,,,,,,,,,,,,
387.0,Grammont,Montpensier,Montrez,Aspremont,Mont-,"Mont-
charron",,,,,,,,,,,,,,
388.0,AIfaires-Etrangeres,ngres,AIfaires-Etrangres,,,,,,,,,,,,,,,,,
389.0,layes,balayes,Balaruc,,,,,,,,,,,,,,,,,
390.0,rue de Cloiseul,SEul,rue de Choisceul,rue de Chabrol,rue de Clery,Choiseul,"rue de
Choiseul",rue de Choiseul,,,,,,,,,,,,
391.0,llaurait,aureole,Dulaure,,,,,,,,,,,,,,,,,
392.0,mele,Siele,Rappelez,le-,poele,pele-mele,,,,,,,,,,,,,,
393.0,l va,Oui6vous,YOuS,vOus,,,,,,,,,,,,,,,,
394.0,seuil du boudoir,teuil,auteuil,Auteuil,,,,,,,,,,,,,,,,
395.0,hasta,Castilles !,lBastille,place de la Bastille,fastilieuse,vtillesl A,Bastille,,,,,,,,,,,,,
396.0,tamise,ami.n,familiarite,amiel,,,,,,,,,,,,,,,,
397.0,Palerme,-  Permettezl,permettezl,,,,,,,,,,,,,,,,,
398.0,Restez,Ouest,Iare-aux-Est,Nest,Est,restc,,,,,,,,,,,,,,
399.0,EnUCTIoN,EnUCA,EnUC,,,,,,,,,,,,,,,,,
400.0,Paris  Nogent,Nogentais,Nogent-sur-Seine,largenterie,Nogent,,,,,,,,,,,,,,,
401.0,on276,n27E2,,,,,,,,,,,,,,,,,,
402.0,BAh,bah,,,,,,,,,,,,,,,,,,
403.0,rue Coq-Ironie,lironie,Coq-Ironie,,,,,,,,,,,,,,,,,
404.0,luil,laulre,ulcools,Aulcuil,,,,,,,,,,,,,,,,
405.0,Aube,l'Aube,l'argecntl,,,,,,,,,,,,,,,,,
406.0,A gcnoux,Mrnoux,burnousl,Pidoux,noux,lArnoux.-.7I,Arnoux,"Mme
Arnoux",Arnou,Arnouxl,,,,,,,,,,
407.0,Champ de Mars,"Champ de
Iars","Champ
e MIars",Champ de Iars,,,,,,,,,,,,,,,,
408.0,Suresne,Censure,censcur,,,,,,,,,,,,,,,,,
409.0,relectoire,Soitl,Loire,soiree,Bonsoir,,,,,,,,,,,,,,,
410.0,boulevard Saint-Denis,boulevrd,boulevards des Gobelins,Moulevard,boulevard sen,,,,,,,,,,,,,,,
411.0,tanl,Bray,ebranlie,,,,,,,,,,,,,,,,,
412.0,"Dittmer-la
et je paye tout",retoutr,"doute?n
-  Pas du tout l elle est honnete",lout,toul,tout;-,Toutle,Partout,,,,,,,,,,,,
413.0,Pvesse,Osage,Sagesse,,,,,,,,,,,,,,,,,
414.0,Molibre,civibre,Premibres,premibre,,,,,,,,,,,,,,,,
415.0,Mlontreuil-Nantua,regagnantsa,Nantes,lhunanit,Dantc,cinabe,dinant,,,,,,,,,,,,,
416.0,ablmes,blme d'exagere,blme,,,,,,,,,,,,,,,,,
417.0,Montagne,kaolin de Bretagne,Bretagne,,,,,,,,,,,,,,,,,
418.0,COmment Donc,Comimnent,Commecnt,cOmment,,,,,,,,,,,,,,,,
419.0,prcsque ous,ctrusques,pUisque-nique,bour de basque,legiaques,Annales roantiques,ctsques,pItesque feroce,,,,,,,,,,,,
420.0,Buins-Chinois,Bobino,Chinois,,,,,,,,,,,,,,,,,
421.0,Irayante,oulrageante,snte,Ievue Indeeudante,Barante,Quarante,,,,,,,,,,,,,,
422.0,ILaromiguire,langge,Languedoc,orang-outang,languir,,,,,,,,,,,,,,,
423.0,retou,Alpes,attroupemenlts,etoupes,,,,,,,,,,,,,,,,
424.0,IIonor,Iond,feconde,ionde,blonde l,,,,,,,,,,,,,,,
425.0,Orlans,porlail,,,,,,,,,,,,,,,,,,
426.0,Poncif,Donc,Don,donC,,,,,,,,,,,,,,,,
427.0,Ilot,Milo,,,,,,,,,,,,,,,,,,
428.0,cpagne,l'Espagne,musee espagnol,d Espagne,d'Espagne,Espagnolet,espagne,"com-
espagne",Espagne,,,,,,,,,,,
429.0,Norvins,medecins,insree dns,nins,cerains,,,,,,,,,,,,,,,
430.0,designe,gne,Empoigne,rsignee,chtaigners,Seigneurl,Ligne,,,,,,,,,,,,,
431.0,mediocre,Samedi,paon,Ia Comedie,mdiocre,iaon mediocre,,,,,,,,,,,,,,
432.0,Weldon,dontj',ldont,,,,,,,,,,,,,,,,,
433.0,chdne,march aux Fleurs,Arc,Marchd,,,,,,,,,,,,,,,,
434.0,harem,lappartemcnt,gravemcnt,dcouragemcnt,"brav
garcon lcha immdiatemcnt",confusemcnt,semcnt,rayonnemcnt,remcnt,economiquemcnt,,,,,,,,,,
435.0,Sncal,Sncall,,,,,,,,,,,,,,,,,,
436.0,Enfin-,Loin-llocher,Deloin,Loin-,,,,,,,,,,,,,,,,
437.0,-  Tapecz,Nogcnltais,"hse
- TAis-toi",,,,,,,,,,,,,,,,,
438.0,Svres,Havre,llavre,navre,Avrt,,,,,,,,,,,,,,,
439.0,Cerfs,lons i cercle dor,Cercle,,,,,,,,,,,,,,,,,
440.0,rue Tronchet,rue de la Ferme,"rue de la Ferme ? 
-  Mon Dieul",seuil de la lorette,ecrans de la cleminec,place de la Bourse,ferme de Presles,rue de la Ferme et de la rue Tronchet,,,,,,,,,,,,
441.0,Naples,cenltuple,Peuple,pcuple,,,,,,,,,,,,,,,,
442.0,rue Fromanteau,Fromanteau,,,,,,,,,,,,,,,,,,
443.0,lrges cuvettes,"detteln
-  lurbleu",laigrette,casqtette,Effet,httel,lettel,,,,,,,,,,,,,
444.0,Desluuriers,Deslauricrs,bDeslauriers,Deslauriers,,,,,,,,,,,,,,,,
445.0,pont de la Boucherie,pont de Charenton,place de la Concorde,pont de la Concorde,,,,,,,,,,,,,,,,
446.0,Chitillon,Postillon russe,Postillon,postillon,,,,,,,,,,,,,,,,
447.0,"damas rouge
Quatre domestiques",socqucs,domestiqucs,,,,,,,,,,,,,,,,,
448.0,orfevrerie,chbevre,sevre,,,,,,,,,,,,,,,,,
449.0,Aprbs,quaprs,auprs,aprs-midi,Aprs,,,,,,,,,,,,,,,
450.0,rÉpéta,etaitune,discutaitla,"etait136
L",sortaitpar,N'6était,,,,,,,,,,,,,,
451.0,Ilpublique,Rpublique,Repnblique,lRepublique,Republiquel,Republique,,,,,,,,,,,,,,
452.0,baionnetles,Husson-,ahus,Iussonnet,Hussonne,fort honnete,Iussonnct,Hussonnet,,,,,,,,,,,,
453.0,recut,fort gentimenl,recut fort gentimenl,,,,,,,,,,,,,,,,,
454.0,scuris,Pur,jurisconsulle,Puris,,,,,,,,,,,,,,,,
