cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
120,Africn,Africal,Alrica,Africa,Africa degredadol Jesus,Atrica,d'Africa,i Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,IEl-lei,El-kei,Fl-ei,"El-lei Fer-
nando",El-lei,HEl-rei UD,kEl-rei de Leio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Nn,penna,nna,Pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"villas da
doaao",ViIla-Velhas,uIla,Ilas,Froylas,Assenbla da Villa,Villa-Nolhas,Villas,Polas,Ilamnejou,Tordesillas,filalgas,Iilas,Ilaras,aSIl0s,Ilalsuas,,,,,,,,,,,,,,,,,,,,,,,,,
124,Mlirante-se,Mirante,Miranle,MIirante-e,Violante,"Mirante coo
su gorl",Anarante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Juuhao,chao,icha,Irecha,Orcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Mlultidio,Cundidato,idia,lusidia,ID,Adian-,diabol,diaho,idonia,Gadiana,surdia,"dn s-
lidio",solidia,tdi,balburdia,,,,,,,,,,,,,,,,,,,,,,,,,,
127,t]e esvasiira dum trag,Tecedciras,D,"Passira
ahi",Casira,arrastira n'umas andas,Casitira,Casimiras,sira,"vi-
draas",casimira,Passira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,aceccitou,Necessito,necessitoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Mlieira,Polieia,Olieira,Oiieira,flieira,IRYMIlIEi,Nlirauie,hieira,Uliyeira,d'Olieira,l'Olieira,"reeheira
de Mithologgia","Oliyei-
ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Rel,repellia,Gela,rela,revelacbcs,mao inquiela,Luela,Slarem,recspondela,Gzela,lela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Doutor,"r.
boutor",toueador,outorl,loutor,Aordou,Ioutor,Outulrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Toa d'r-,us lns d'Aggsto,"Toa d'r-
l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Publicn,1r,publicuva,"pa pu-
blica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Lentatnente,Bento,"novecentoste
cineoenta",Iuento,Lentro,Bentu,Lento,Poento,lentu,Iento,S. lento,Ienlto,Hento,alentel,lentw,vent,mnhento,Bentol,,,,,,,,,,,,,,,,,,,,,,,
135,"Seira
I168",seI,seiras,Tecedeiras,Mareiras,poeira;-e,aneiras,"ul
Iraseo","hom-
hreiras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,r-,uja,"jar-
di","Bomjar-
dimt",I'ar-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,secu,Seculo,seculo xII,Cenaculo,"Seculo das maos tremulas
do",veraculo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,biggode,bigodeira,airavez da bigodeira,bigoleira,bigodc,higodeira megra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,acudiu,iudo,sacudid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,tntcndra,I)eunte,fornt,ntntea,eantes,penteaya,Realmentel,hntea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Ilarros,larr6lo,Ilarrolo,"Ilarro-
los",deelaro,larrolo,nio alvorolar,pobre Hlarr0lo,Claro-Sol,dcclaro,llurrolao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,sc lcvntasse,Assigna Y.,1I,sc eh0Vasso,Assi,Quatro annusl Assim,impassivol,Urassn,Assimn,Vss,assoibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,accrescentava,crescendo0,O0,"vomo escre-
veu",escrceva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Almocei,mals,almcjira,almoeo,lm,dalma,Alma,Malluciou,Maldio,Almas,Almodovr,d'Ullma,Lma,almuzem,almoo,Ullmar,passo tqute dve calmar,,,,,,,,,,,,,,,,,,,,,,,,
145,-HE,Ihe,Hem,HE,HEu,cahe,omhebid,zeviche,heaso,hehendu,Therezas,Chete,Chel-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,lago n'essa,N'esse tolehto,d'essa,N'essa,N'ossa,cssa,N'esse,acredito n'esses,"mehor
diminiio n'essa",cspessa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,SC CUIIS0rVava,lcvar,Va,luva,lovar,Vae,Vao,Levava,varzea,obruva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Iatal,Natlal,Talvcz,tahberna,Matalhas de Napoicao,Natal,ksfaltato,Imnatava,allna,Matalhas,Catao,mattagal,Fatali-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Affonsinasl,Affns,Affonsino,Affonsina,AfIonso,Atfonso,Aflonsina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,muvia da poltrona,etroleo,petroleu,ponetrot,poltron,rodilhado tropol,trondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,llonra,la Honra,Ilonra,Honra,Tallan Ilonra,"llonra:-e de-
brueados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,manla1,Lanea,balaneado,eamurca branea,banet-0,"dc
Franea",lanear,i janella,Lan-,tardaneea,trineando,melaneholia,hane,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,coIno,coino,ecoih,Join,loino,noido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Chafriz,Clafariz,Chatarizo,Chafariz,Chatariz,Largo do Chafariz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,canaviaes,jograes,Annaes,teclaes,paesl,Yae,Iiguraes,aes,Quaes,Setiaes,Ficaes,"Sulares
rivaes",aeu,jornaes,casaes,Ilrayaes,Moendo aes,Waes,expressaes,Ribadaes,,,,,,,,,,,,,,,,,,,,,
156,mi,miml om,Cusimira,IMII,IMIRE,IMI,Imie,IMIHES,SimI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,homcn1,homcm,N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,IIespanha,llespanha,Ilespanha,dIIospanha,Ilespa-,Mlespanha,"Ilespa-
nha n'uma pandega heroical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,sioava,preguicavatn,tranquillisar cvocava,cavallarica,Cavado,Cntava,caVa,agonisava,santilicava,bcliscava,suflocava,tufava,xaVa,pasmava,recuavan,"ce
empletava",av,Cavallaria,mancaval,,,,,,,,,,,,,,,,,,,,,,
160,hBaixa,baixa cubiga,baix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,lLueena,lumc,hna lLucena,Lucena,Lucehna,Iuceena,"Mlas
lucena",seduceao,Ltcena,Lcena,nna Lucena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Formalra,iaormavat,Formatura,la Formatura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Poemeto,Poemneto,Bnrdo o Poemeto,.Aeto,Poemelo,hoet,hoem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,ILLLTIE LLAA,ILLTIE,ILLlTIE,IALLTI,ILLTII CA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Mssembleia,Assembleia,Assemblc,Assemhlia,Assemhleia,uu ssembla,Assem-,Asscmbleia,Assemhleia tda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Templosinho du Amr,palvarinhos,Pelourinho,piquesinhos,sia risonha,risinhos,risnho,coborto dc riscadinho,Ssinho,"dis
btndos senhriucs",Ias risohos,mehos,Templosinho,hurrinho,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,junlo,enlh,senlo,sc senlra,surprchendcssecm,genlc,senllor,Enlre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,csguarlatos,l.arg,alargne,largu,largs,Margcs,"alargne
form",Iargu,Largo,laru,largulea,Largo do Chalariz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Guticrres,Gutier-,Gutierres,Gutiorres,Gutiertes,ofiereccr,UTIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Te-Deum,bDeus noss,Deus,Bom Ieus.l,Succedeu,beus,Museu,Ieus,IDeus,Deusl,bDeus,beusl,Doeus Iluvial,"merce de
Deusl",,,,,,,,,,,,,,,,,,,,,,,,,,,
171,setim,Cimhra,Vim,im,Nimes,tIma,Imu,Imn,IME,immensissima,"im-
I",seim latim,Im,Iolhctim,iml,Ima,,,,,,,,,,,,,,,,,,,,,,,,,
172,lois leitDes,lenois,noile,Ienois,Denois,Noidles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Choupal,Paschou,aschoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,tnludc,ondc,dc,dcemo au lad0,dcsde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,boa nova de prestes soeeorros,boa nova,saiasita nova,cova negra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Chefo do District,zs,Ict,Iistricto,Districto,"Auctoridle do Districta
rcontra",i Auctri-,islricto,Chcete do bistricta,distriet,distrahidas:- h.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,convento de Santa hereza,Convento de anta-lIlrigida do,Convento de anta-lIlrigida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"joe-
lhos",Jos,harpcjos,JosC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Freixomil,Teixedo,Freixos,Treixeda,Treixedo,Treixedu,MIarquez de Treiedol,Troixedo,TreixCdo,"Feiosn n Trei-
xcdo",Treixelol,t,"Marquez do
Treixedo",Trcixedo,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Cas-,as-,pas-,Bas-,As-,U CsaSo d'es-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Rogonerador,"Ie-
generadores",Nerenos,"sobreveste ne-
gra","Ie-
gcucradores","IIistoricos 
Iegeneradores",Ilegeneradores,"Ie-
generadores realisassem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,aversaa,conversand0,onversa,cnversandw cum utn ho-,scmssaboria universal,niversal,coniroversia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Atravcs do vco,atravez d matto,Atrave,alravez,atravesol,atravez do feljoal,atrave,atroava,atrever1,atravez d jardin,Atraves,Ave-,Atravcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"pas-
sear","as-
sobiava","Pas-
sado","m pas-
sadico dc travcs","pas-
sado",pasmad0,trespassado,"pas-
sls semanas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Iuarte,l2art,luarte,Quarta,quatarze,Quartel,gaeta d scu quarlo,"caix
de tartaruga","llymno da
Carta",Baluarte-Volho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Avantesmas,Bravaes,ravaes,Estimava,Iravaes,aes Iravaes,Iravacs,Oraea,"Bra-
vaes",St cspcrava,"IBra-
vaes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Iria,Liraria,Livraria,liraria,IPIria-  coi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Iatedo,Mateu,Iieatei,Ate,hatendu,pateo-,Ctate,Mloscatel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Iilerto,perteitos,"pertmar as
mnos",Perto,"llc pertnne-
i eamo m",Mlertola,espertol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,souto de azinheiros,Mlendo de IBriteiros,Mosteiro d,Mosteir,"osteiro
do","Mosteiro d
ltecadies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,pocira da lide,asa de Franea,pera de S. Joaio,Rel de Fraaca,festa de,raa de,"pstna en
praa",peira da es-,"nira
au lilha ais nova de
de 5","sobrc
feira de manha",ladeira de S. ento,g)aa,claraao da ftorja,smhra d,pnna de pato,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Expediao dos Aryodas,Feitor-mor das Alfandegas,Crz das Almas,Cruz das Almas,"us dtns manas
parlas",tos almnas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,febe,beh,m beve,heber,bebedo,Sbedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,iriste,eom tristeza,tristeza,Vcneza,histria d'este Pego,"Nli
nisterios",triste:-,cristes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"qute
elle collabrava",l'elle,ropte para elle,"inlerpelland
tamlemn",fazeer delle u,ellc,Yelleia,bellez,n'elle,kElle,elle,Ellei,lEls,excellentel,illlela carta,d'elle,Ellc,"qute
elle","qte
elle",Y0,Yelleda,aruelle,,,,,,,,,,,,,,,,,,,
196,iremnia,Torre reprehendeu,Tovrvre,re-,RE,Re-,Reriz,Areos,Hl-rei,ereads,emn mareha,bre,crei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,llste lecal,toncale,aldca,caleil,Acal,cale,sen Cayal-,Caalleio,calle,calp0s,calv0,"jale-
ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,L.lvdis,isper0,Isear,Nis,Uis,Iteisla,Iwis,Is,pisa,reeisu,I'uis,mis,lapis,Sis,idealisaa,Iis-,"Cidude
nis axistia nodoa",I'is,,,,,,,,,,,,,,,,,,,,,,,
199,"yez
ue succeda",Gedes,"U
desar0tl",Vede,uedes,guedelha,Guedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,contribioes,Contu,Bonto,ntonio,Conto,"convento das
onicas",Contiuu,Nonto,ontade,consontia,phaeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"pu-
hd0 0 cordio",Mlisericrdia,Mlisericordia,misoricordia,"dis
sera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"Fidalgo da
Torre cra","Fidalgo da Torre
coIn risonll0",Fidalgo da Torro,Fidalgo da lorre,Fidalgo du Torre,"Fidalgo da
Tore","Fidalgoa
la Torre",Fidalgo da orro,Fidalgo da Torre,"Fidalgo da
Torre",Fidalgu da Torre,l,Iiscnrso da Coroa,Fidalgo la Torre,frouxidio da porla,Fidalgo reclhendo i Torro,,,,,,,,,,,,,,,,,,,,,,,,,
203,Atastou,Gstou,cstou,kstou,t]e,ji cstou,Erncsto dc,uvistou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Cruzeirol,Cruzciro,Cruz,Mmniciro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Visconde de Rio-Mlanso,"llio-Mlan-
so",io-Mlanso,Rio-Mlanso,lio-Mlanso,Manso,Rio-Manso,io-Mans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Craqutde,Craquile-,Crauede,Craquede:-aS6 sta,Craque-,Craquede:-aS6,Craquede,Craqucde,Ccrqueira,Craqude,Crede,Craquide,Craue-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Joaqui,vcjo,IJoa,Joa,oa,Joa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Olivira,Oliveira-no,Oliveira de bae dad0 col,"Oliveira-no
dosejo",d'Oliveira,Oliveira,Oliveirat,d'Olivoeira,Olivoira,Uliveira,Oliveira-,Oliveiral,Iliveira,d'Olveira,"cidnde d'Oli-
veira",Dliveira,d'Olivoira,Olivyeira,Im Oliveira,liveira,,,,,,,,,,,,,,,,,,,,,
209,Cuvalleciro de Mlalta,Cuvalleiro,Cnvalliro,Entia Cualleiro,Cuvallo,Cuvalleire,Cuvalleirista,"Cu-
valleiro",tuvalleiro,Cuvalleir,triumpho do Cuvalleiru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,cehi,Ceo accuda,Ceo,ceomo,ce,eoxn,"Golpho
Persiceo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"Condudo Portu-
calense",Mlendongcas,"capitaao
Mlendouea","Mlen-
doncas",Mlendonca,Mlaria Mlendonea,"Mendonca -anbos
comn parabens",Mlendo,Irincando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Setembro,lezembro,Novembro,Iezembro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,eomprida,Vidainhos,Yidainhos,venida,guida,Iuidas,sidao,aida,brunida,"Ai per-
daio",vidae,Adail,-iDh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,levira,Tavira,Bravissimo,avisira,Iravissimo,avisu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Cm,Cc,Ccm,seccalrcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,S. Fulgcncio,S. Fulgeneio,V. F,"1F'ul-
gencio",Fulgcncio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,uasl,lDuas,extasi,t)uasi,Juasi,uas ideas,uasi,t)uasi inconquistavel,"ua
tssidela",uUasi,corduas,quasi,uasi secca,quasi consenti-,uas,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ainta,sobinho,viuya Pinho,Imnedintaienlle,onta du sobrinha,Pintainho,NtUninho,Pintainhan,aintda,Pintainha,"Pintai-
nho enfiado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Pittas,Mloahitas,gtitar,Coitado,gritand,despcito tao,Ita,Aquitania,lcito u tad,Iinita,Mluitas,aeredita,Coitadal,Bonital,ra hnitau,Pitta,gritavar:-,,,,,,,,,,,,,,,,,,,,,,,,
220,aterrado,terraco do jardim,"jnnella
erra",Yolto derradamcnte i ema,Serras,icrras,caraeter,uc uorrera,Terra,perra,traternal,d'alm serras,terraeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Bastardo,lBastardo,"Hastardo b-
I1aa",Vasta,Bnrdo,Iastardo,tardlas,dy fastaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Manoelsinho,Noella-recebeu do manhi,Mlanoelzinho,Mlanelsinho,Mlanoel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,coraci nio,"nio ha sulti-
Ileas",nio mc,nio,nio disfarea,Bntol Nio,deixo2 Nio,nio dais,mnio,"nio
s6",Nio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"Iusica o
Terreiro...",Terreiro aquelle,aterre,lirreiro,"besteirus
qc eurregira us",Terreiro,"uerreiro
massadol",Terrciro,"rehentar dum
mnorteiro",terrugens saobre,terreiro kF Goncala,bom Padre Sueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,elteger,vergastu,novo retervendu,hervaeal,vern0,herva,intervcio,vergel,gcmer,terver,teror,Er,vergatdo,ER,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,parclha,Nyha,Yelha,trahalhar,bulha co o lr,humilhacio,ma milha,Iilha,Olha,trebalha,Iha,lha,Yalha,iolha,orclha,Illha,Bic-Yelha,Palha-Ca,rua Yelha,vclha,Slha,vlha,,,,,,,,,,,,,,,,,,,
227,huio,I. Guionur,"Aprlo de
uio",Borguinhio,Guiio,Crguidos,iruio,Guiomar,Iidulguia,uuio,esguio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Franciseo,Rei de kFrancal,Iranca,Mranco,Franca,Roet de Franca...,kFranca,Historia de Franca,Roet de Franca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,u irmiie0,Irmio,irmi,RMIlS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,valent6es de Nacejas.n,Nacojas,Beja,Nacejas,Naeejas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"Santa Mla-
fia",Santa Mla-,Santa Mnria,Santa MIaria,Santa Miaria,Santa Mlaria,Santa Mlarla,sa tace mis,"Santa MIa-
ria da Yarge","dec
anta Maria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,bra0s,genebra,brageo,Brazil,braza,braz,br,Cibra,abrazaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Achegou,"pelu
sua goa",Chegot,agoa do regato,egoa,tegoa,goa,ogoa,regoaa,l'ego,soeeggo,Pego,eagoar om,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Brxas,Sobras,sobrc,tsombra,sobreeasaca,Obras Publicas,Obra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,lachequc,qucm,ul baquc,"kE olhe
quc","Quc
diaho",quc,Iraqucza,uc,c1,Qucm,lrquc,Qucrcm,pquno,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Canellia,Ianchasse,Iancte,tlia lanca,Iancas,cancassol iNada,candcia,lulma ancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Quan-,"quanda
soubo qule",uando,qne u la branquuava,"quanda
l",Quand,uannuvia,quand0,tquatro annos,rcuand,Hoi  allivio quand,quanudo,quanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,fcno,luancns,"nio
pcnsci",Pcnsou,Cns,Mns,cni,cnsinar,Ns,sobrecnsa,pcnsaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Uh,suhisst,suhissult us,suhiam,uUhl a0Z g'0ss0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Iugindo,Indial,Aindu,ria aindu,"d'onde
surdia",lindissimo,India,vindima,"pcndiam dos
paineis","sa-
cudindo",fundia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,I'ereira,Pereira...,Mlanoel Pereira,ba csperana,Iereira,ji cspairecera,Pervira,ji u lPereira,jurtira reserva,Pereira amigol,Pereira,Pereira da Riosa,Cerqueira,scmpre cnsageira coni,Pereiral,Cerejcira,Pereira Brazileiro,Terceira,,,,,,,,,,,,,,,,,,,,,,,
242,Reino,vein,uin cruseir,Hleino,ueiinad0s,prineipio,eIn,nala teinia,phas seis infancoes,geinia,eino,bein,Ieindo,maginei,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Alcmtejo,Vejo,Alemtejo,Tejo,Alumtejo,Alemtej,Alcmtcjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Im alto vo de gralha,haneo alto,chapeo alto,caheeo alto,"Peo s Mi-
chas",chapeo,"dce
chapeu alto","om alto pu-
nho",ceu alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Ircneia,eia,eeia,bocea cheia,Mleia-lade,Fnlgeneiao,Creia,deia,Cadeia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Cstello de Sana Ireneia,visiahanca da llosa,"resoantesl 
rcahnente uma comprehensao tio segura",Castello de tSanta lreneia,Castcllo de Sunta Ireneia,Castello de tSanta,castello de Santa lreneia,l1 sta tentdu,"la lloste leal
1",lLopo de layao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,jd csti,JD,jd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Ordemn Iu-,Ordemn,Abhude,Yde,desombrggador,desorden,p6de,vrdude,Jordde,desordom,veridica da desorden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Canta-Pedra,Cantapedra,"valle
le Canta-Pedra",Cahnta-ledra,Canta-l'e-,Canta-ledra,Canta-l'edra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,lLoureo Iires,Ireseo,RAIIRR,AIIRE,"botica
do Pires",Pires,Iires,"Remires
Esi",Iresa,Iaires,Rires,Ireseos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,chcgada,Nadal,cspada,Iiada,"protundidades da
Tartaria",Iada,Vadas,Iumada,Boa piadal,ahfadas,es padacia,Arcada,eom requeada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Vival,divan,IVa3,Vivaonle,a3,lival qunndo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,iazer,sia,Ylyia,duvia,Freguezia,Iamlliar,Ia,Iaee,luzia ut,Irgia,bbia,lulia,stbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Magnlfico,Ordonlo,ponla,Onlram,conhecidlo,0O,Colonia,conlo,conlirmou,u retconciliachlo,conlra,mnonlo,cnnlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,lragana,Pruaga,Couraga,liegencragao,Praga,Pragal,Prau,coragao,Ihraganeas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,chcle,Clul,clno,cl,sclprc,pcla,Clao-ol,nclo,Iicl,pclludo,declrotu,clhido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Gonea-,Gonealol,Coneala,Gioneale,Goneulo,Goneal,oneal0,Gonealt,Iaort- tGoneal,"eia da tade In
tGonealo",Goneala,Guonealo,Gouealo,Niol Goneal,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,UTIE CAA,iL.STIE CSA,ILLSTIE CASY ID,IL1.STI CA,ILLSTIE,TZn,ILLSTIE CA I,IlL1LLSTII CAS1 IME,Casa illustrce,IIoste Ilcal,II.1.LSE CA1,I1TIE CNA,ILLST CASA DE AInE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"lla
dias",ellae,Yella,llanella azul,lapella,"bclla tazen-
la",bella mulher,Ilanella,collao,lla,lla uanli,"du
I'ella",cautclla dum,N'llas,klla,coI ulla,hella 10,llla,ollal,,,,,,,,,,,,,,,,,,,,,,
260,apcrtda azinhnga,rharanga,orangal,Vigas,d'espcranga,ongalinlo,fnga,gingand,vinganga,descanga,Franga,Vingasse,nanga,langas,engasg0,,,,,,,,,,,,,,,,,,,,,,,,,,
261,caralba,earamba,carambal,cmbaraeado,Caramnba,Caramba,fcitol Caramba,embaracados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Torre aos Domingos,doningo,bomingo,Pogo de S. Domingas,Domingo,Dominge,Iuingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Mante-Agra,nogra,Aggora,Gragea,desgragal,Graea,Agra,MIonte-Agra,Gra-,abrag0,Inagra,Graa,meigra,gragas,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Monicas,Chaonica,Chronica,Chro-,Mlonicas,Chrnica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,io,io passcio,nliou,eio l,eluio,Ioda,Ioao,"l-
Iou",Iof,u Iof,"io vi-
sitnr",Io,Iou,iolau,Iovrhgec,Adio,mcio,Ioema,hio,Iom,Ioe,Iogo,Fnlio,"o-
Io",,,,,,,,,,,,,,,,,
