cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
27,urte,Iorte,Iortes,Norte,Mlorte,Ior,Cwrte,Sorte,Mlunforte,Iorrc,ma iorte,aquete Iorl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,aenas,Inas,Minas,demoradu Inas,"nmna
casna",Inasstdos,las ahnas .fIonsinas,Mlinas,mascnand,alnas,arnas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ti-,Ri-,Iigti-,Obhi-,VWi-,Vi-,Phi-,".Noti-
cis","onze ti-
ras",Adi-,Uni-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,coh,Oh Avs,Oh,cohl0,Ohl,coho,cohra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Furopa,Futuro,Europa,a1 paixii profund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Snhor,Senhor,Senhorl,hordu,cste senhor,utr seuhor,Senhora,Jlunho,Senhores,Ordonho,"bDeus
nosso Senhor",Junho,Senhria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Nu,Inur,Sinuto,Inuro,"uI
nur0",Inuros,Inudo,Inurmuradas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,larges,"Bara
las Marges","Invento-
res alargavai",crge n,Iargeln,lages,Mlarges,"Baroneza
das Marges",Mluarges,Iario das Mlarges,margeIm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KE,kEu,Sua kExe,kE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,esmolat pr,golpcs,Yolvesscm,Ol,voltu,volvu:-,Yolto,Olhte,emprol,polr,Oli-,l'oli-,nolc,magnolia,olume,I'erol,,,,,,,,,,,,,,,,,,,,,,,,,
37,Iussia,Hussia,preciusissimo,anssim iucia,Siu,lussia,relusia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ur,apuru,Mlurad,mur,dUuro,surprceza,Clura,Iururou,urmurava,urze,Algurve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tende,attender,Ten,entendienlo,Nascente,Bente,Fuente-Guihal,tenlava,gentel,rasgadamuente,Tenho,Ceriaente,tendal,dentes;-e,Tens,tencbros0,qten,"re-
tezou turiosamente",Iacatent,batendu,,,,,,,,,,,,,,,,,,,,,
40,Alem-,Froalengo,l)ueado le Galilea,Alea-,ale,Galilea,Aleres,saler,Alemqucr,dale,gales,Aleaide,Saledor,ji sale,alegre,fortaleza,alegree,Nvidales,Alem-lordao,Telegralnlnds,"jale-
us",exagvro alegrc,,,,,,,,,,,,,,,,,,,
41,Ti16,I13,I19,I1.1 TI,T16,I10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fleicio,Eleicio,Eleico,Eleiciol Pois,afan da Fleicio-para,elcico,Eleiciol,Eleicao,kleicao,Eleicaio,Bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Giar,MIaria,MIa-,MIayria paro,laria,Imaria,Romperia,Pntria,Iargo,pria,Inuncaria,Mlaria,Alugaria,optia er ar-,ucharia,Ave-Mlaria,gria,Inontaria,Syria,frialdude,,,,,,,,,,,,,,,,,,,,,
44,convile,Con-,con-,"turor con-
tra",Oon-,conhes,Mlon-,ji n-,Conviviam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ILLITIE CA I IYMIIIE,ILLITI CA IE ITMIE,U.AA I IMIIS,ILLITI CAS,ILLITI CASA DE IAMIIE5,LTIII N1 IE IAMIIE,IIL.LITIIE,ILLUSIE CAS5A DE IAMIIIS,sel IuIlII Ile uelra,"Iit IISllYlllIie 
idraa",II.IyRTIE CASA D IIAIES,IILLST CA I AYIIE,Y IILL.ITI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mlnotel,Iotel,pote  biobo,chicotel,techot,Iotel MIondego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,colhi,Collares,colches,col,colpadre,Iecolheu,tencolhidu,collete,coln0,Mucolieo,col umor,Colsas,colu,Colo-,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Alcaova,Alcagova,Alcacova,Alcacva,alagoVa,trno dn Alcaeova,Alcaeova,Aleagova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Immediatamente,"assohiando va-
gamente",immensos,immdiatamehte,divinamentel,immehsa,Pessimamente,Hirtamente,latalmentc,tcm immens0,"F
immediatlehte",Iament,faee chammejante,"Vivaln
MIagestosamente",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Iishoa,Lishoa,Lishon,hoa liss,Pashoa,lILishoa,Hoa,g-,lishoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,murle d'hoe,Nl-hley,Gnle,Mleles,lE,hule,lEm-,indule,qle,Leit,lepis,le luts,qtle pctdiu,lEu,qule,qtle,leza,tle,Jhle,Chole,d'omle,levia,le1,,,,,,,,,,,,,,,,,,
52,Yideirinha...,Vitcirinha,Videirinha,Yideirinha adeantou,dirinha,Videirinln,Nideirinha,Videira,Torre Vidveirinha,"I
Yideirinha",Yleirinha,"Videirinha
s6 poz",Yideirinha,Vidceirinha,Videirinlia,Videirinh,boeirinha,Videiral Toca,NVidoirinhal Mlas,eadeirinha baixa,"Videirinha
s6",Virinha,Vidcirinha,Vileirinha,0O Yidoirinha.,,,,,,,,,,,,,,,,
53,Palaceete,Palacete,Palaeete inaccessivel,"1I
cete",Palacio,Palaeete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
