cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
134.0,Flcava,polcava,EspacaVa,cobicava,,,,,,,,,,,,,,,,
135.0,"Pimen-
tel de",Trento,sentimentol,Entio,sentirla,Salentol,,,,,,,,,,,,,,
136.0,Menina,Menino,,,,,,,,,,,,,,,,,,
137.0,Lisboa,"Lisboa c
sa
 IMI1",de Lisboa,Lisboa...,Lisboal,estrada de Lisboa,aguas de Lisboa,,,,,,,,,,,,,
138.0,Comuicado-,Comuicado,Comui-,Comuicatdo,Crucificadol,,,,,,,,,,,,,,,
139.0,despeitol Ah,peitol Tinham-no,Respeito,,,,,,,,,,,,,,,,,
140.0,pescoco,Desconfiai,Esco-,pcscoco,Escocia,pescogco,,,,,,,,,,,,,,
141.0,UC1II,UI1II0,,,,,,,,,,,,,,,,,,
142.0,Gansoso,Gansosinho,Gansosos,,,,,,,,,,,,,,,,,
143.0,Lis-,Lis,Polis,,,,,,,,,,,,,,,,,
144.0,Diga-me 1al Traste,casaste,Castelo,"monte do
Castela",Castaldus,Traste,Epistel,,,,,,,,,,,,,
145.0,Acen-,saudaces,saude,,,,,,,,,,,,,,,,,
146.0,"Sao da Encar-
nacao",Nacao,Nac,indignacao,,,,,,,,,,,,,,,,
147.0,Teles alfaiate.- Ai,Teles,gales,elesl,Pobre Teles,Cacetel,,,,,,,,,,,,,,
148.0,Graea,Gra-,Jrae,Praea,traeo,,,,,,,,,,,,,,,
149.0,Tudol Tio,tudol,Tudo,Laudo,Secudo,,,,,,,,,,,,,,,
150.0,sque,gque,Vasques,,,,,,,,,,,,,,,,,
151.0,Calafates,"Cala-
fates",Cala-te,"rua dos Cala-
fates n.e 53",Calas-te,,,,,,,,,,,,,,,
152.0,ingratol,pratol,Engraxou,,,,,,,,,,,,,,,,,
153.0,Miserico6rdia,"Miseric6ordia,-e",Mlisericordia,Misericordia-,Miserlcordia,Misericordia...,Misericodia,"rua da
Misericordia",Misericordia,Misericorciia,Cordova,"Mise-
ricordia",Misericbrdia,Misericrdia,Misericordias,,,,,
154.0,Pobre,Nobres,pobreza.-,Abre,lugubre,,,,,,,,,,,,,,,
155.0,Tolicesl-,Tolices,licenga,licenee,,,,,,,,,,,,,,,,
156.0,familia,Fami-,Militart,maes de familia,,,,,,,,,,,,,,,,
157.0,Alcantaral Famosa,cantaro,cipe encantado,cantarl,,,,,,,,,,,,,,,,
158.0,Hai-de,HIei-de,HIein,Hei-de,Hi-de,,,,,,,,,,,,,,,
159.0,Iembra-te,Lembraram-lhe,Coilmbra,Lembre-me,"sc
lembraya",Coimbra,,,,,,,,,,,,,,
160.0,"dizia.- Homem de
familia...",dizia.-,Jdia...,Belo homem,,,,,,,,,,,,,,,,
161.0,Vamos,Vamo-nos,Famosa,Fomos,,,,,,,,,,,,,,,,
162.0,i beber1,bebedo,bebedeira,Bebedast,,,,,,,,,,,,,,,,
163.0,Joanita,S. Joa-,S. Jeronimo,saleta da S. Joa-,"Ameliazinha da S. Joaneiral
- Que me",S. Joaneira,"S. Joaneiral
Grande",S. Joao da Foz,S. Joaneilra,Joaneira,S. Joanelra,casa da S. Joaneiral,Janeiro,,,,,,,
164.0,Canalhal,Batalha,Canalha,Joanal,,,,,,,,,,,,,,,,
165.0,Minuete de Mfozart,vale de leng6is,Ninon de Lenclos,Valeu,,,,,,,,,,,,,,,,
166.0,Outono,Doutor,Iuto,"Outu-
bro",,,,,,,,,,,,,,,,
167.0,Junho,Ponho,PonRT6,,,,,,,,,,,,,,,,,
168.0,snr D. Josefa Dias-,tndiasl,Dias,Diasl,barbasl,,,,,,,,,,,,,,,
169.0,"igreja do Senhorl-
exclamou D. Maria da Assuncaio","Se-
nhor","senhor dou-
tor",senhor2,"reumatico do senhor
chantre",Senhora ae dos Homens,"graca
do Senhor",senhoresl,Senhora,Amaro:-O senhor,Senhora do Rosario,Nosso Senhor,Naio senhor,senhorl,scnhoria,,,,,
170.0,excitagac,irritagao,Brita,,,,,,,,,,,,,,,,,
171.0,Godinha,din,Godinho,Alipio de Vasconcelos Godinho,Godinhos,,,,,,,,,,,,,,,
172.0,"Leirial
-- Bem","Leirial
---","Cusl
--- Nao","Leirial
--- Voce",,,,,,,,,,,,,,,,
173.0,Dassara,Dassaro,Passa,Passei,passala,Passeio Piblico,,,,,,,,,,,,,,
174.0,Acabou-se-pensava-nao,Pensei,pensol.-O,S.-O,,,,,,,,,,,,,,,,
175.0,Fumaca,Macas,Macaco e da Baleia,Macaco,cacoar,Chao de Macas,,,,,,,,,,,,,,
176.0,braco de Joio Eduardo,Joao Eduardu,Cardoso,"Arco
Joao Eduardo",Jodo Eduardo,Joao Eduardo,Joao Eduardol,Joio Eduardo,Joao Eduardo:-- Trunfo,,,,,,,,,,,
177.0,Quando Amaro,padrce Amaro,Lisboa de Amaro Vieira,Sou Amaro,dc Amaro,E Amaro,portao de Amaro,I. Amaro,Ceu-A Amaro,Entao Amaro,"Se?-perguntou Amaro
ORIIE D P D IIE",S6 Amaro,so6 Amaro,Oh Amaro,casarao amarelo,s6 Amaro,real.- Amaro,,,
178.0,Lethes,Se-,Gethse-,,,,,,,,,,,,,,,,,
179.0,Natirio,Natairio,Natairio-,,,,,,,,,,,,,,,,,
180.0,Estimava,Estive,Esti,Estigmas de S. Fancisco,Fillstinos,,,,,,,,,,,,,,,
181.0,Quc,quc,Quce,,,,,,,,,,,,,,,,,
182.0,sels,Aconselhou,Iarselhesa,ELs,,,,,,,,,,,,,,,,
183.0,Emagreccu,Emagrecia,magro,"Pa-
recia",,,,,,,,,,,,,,,,
184.0,Olhei,Olhe,L-- Olhe,Olhce,,,,,,,,,,,,,,,,
185.0,Oficio,Enfim,Benfica,ficl,justificagao,Benedicat,,,,,,,,,,,,,,
186.0,Quall,Qual Judial,Judia,Sejam quals,,,,,,,,,,,,,,,,
187.0,umna armal,Pis,Luma-arma,umna,,,,,,,,,,,,,,,,
