cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
76,ILES TRAPPEUR9,TRAPPEUIS,trappes,TRAPPEIURS,trappeutr,appuyee,ILES TRAPPEUnS,,,,,,
77,tont,fagon,degont,lagonie,,,,,,,,,
78,arreles,se196,les96,LES,LEs,.e-or,les Incas,Tousles,,,,,
79,Ra-,LHACIENDA DEL MILAGR0,del Milagro,hacienda del Milagro,fr,MAUDII,,,,,,,
80,egaree,garon,Eux,Regardez,Ironie,,,,,,,,
81,juez,IES,Pawnies,,,,,,,,,,
82,conteni,Monte,montee,mons,,,,,,,,,
83,etouffe,toul,couleau,ecroula,,,,,,,,,
84,eveillees,feuillee,TFt,reille,reveillee,Familles,ABBILLEs,,,,,,
85,Dej,Ami,AMI0,,,,,,,,,,
86,lir,,,,,,,,,,,,
87,lepero,perdu1,perils,ge,,,,,,,,,
88,porls,orlre,borls,,,,,,,,,,
89,Bermudez,Hermosillo,dHermosillo,Sermon,t38,,,,,,,,
90,jetne,,,,,,,,,,,,
91,Bientot,CcHATIIENT,Bientt,Combien,"Eh bien 
- Il",bientot,,,,,,,
92,hate,hatto,OhIl,,,,,,,,,,
93,reunie,reunion,reunis,brunie,J',,,,,,,,
94,- Allonsl,Lon,Mlon,,,,,,,,,,
95,"Coman-
ches",Comanche,piste des Comanches,Comancnes,Comanchessont,Comanches,manche,Les Comanches,Coman-,,,,
96,-DE,yII,a-DE,,,,,,,,,,
97,cathedrale de Mexico,teau de I'ouest,golfe de Cali-,"golfe de Cali-
orient",,,,,,,,,
98,Gambusinos,Gambusino,gambusinos,,,,,,,,,,
99,Mlcoires,Hoir,emouvoir,,,,,,,,,,
100,Nhesitez,tercushenan,ter hier,hesiter,,,,,,,,,
101,- Accompagnerai,accompagnes,Pompadour,complele,lsa duegne,,,,,,,,
102,"Porte s.
Pendant ce temps don Ramon",iransporter,A99,escortee,,,,,,,,,
103,A,Espagnols,Espagnol,d'Espagne,1Espagnol,Espa-,,,,,,,
104,"Pe-
rou",Peaux Rouges7,Peaux Rougesetles,Peaux Rouges,Peaux Ronges,,,,,,,,
105,I39,7I,lagrotte,grotte oh lejour,jouR,cmp,,,,,,,
106,Trnce,Providence,Regences d'Alger,La Providence,,,,,,,,,
107,viel,Vieme,E,vie.vI,lavie,vie?Je,,,,,,,
108,partenanl,Carthage,- Partez,Partez,Part-,,,,,,,,
109,Les Indiens,Indien,Dienu,Indies,Indiennes,L'Indien,sion indienne,Indiens,a375,,,,
