cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
53,Reli-,Celi-,celi,,,,,,,,,,,,,,,,,,,,,
54,Philomlne,ohil,Philomn,Philomue,Philombne,s6,Philo-,Philomno,hilomae,,,,,,,,,,,,,,,
55,aec,daecord,pordus,,,,,,,,,,,,,,,,,,,,,
56,egaree,Regardez,gard,Leonarde,,,,,,,,,,,,,,,,,,,,
57,bbe,abbe,,,,,,,,,,,,,,,,,,,,,,
58,famlle,Illle,llla,sueces1 Blle,clle,llle,l4glle,Zlle,Blle,Dulley,Clle,Alert lla,olle,,,,,,,,,,,
59,yisont le eaer,Bisontins,contigu,Bisontins no ly,Tnti,,,,,,,,,,,,,,,,,,,
60,blable auxt Anglaises,Anglais,Anglaise,euaisee,coulume anglaise,medie-Frangaise,,,,,,,,,,,,,,,,,,
61,mademoiselle Mars,"mam de mademoiselle
cheval",mademoiselle,madamoiselle,el de mademoiselle,,,,,,,,,,,,,,,,,,,
62,Simplon,consoai,Barcelone,lons,mons,Lons-le-Saul-,vonsses,canlon,vivons dns,Dijon,blonde,Lyon,,,,,,,,,,,,
63,Noblesso,blesse,Noblesse,Nobles,noblo,l1,ob,blessee,noblos idees,,,,,,,,,,,,,,,
64,requetes,Tes,gte-saues erontes,hesiter,Jardin des Plantes,etesee,Esl-e oes tedeschi,chezla comtesso,,,,,,,,,,,,,,,,
65,n5ineidinais,"yeu
e narais ianais cru",Hollandais,Fanais,laquais,nais,nai,osaa aais-ipaine,Fantaisie,Franais,,,,,,,,,,,,,,
66,fiacre,sian,espe-3iA,MIa-,Iai,soufiat,Ia,Iac,ecria,envosre ar Ia,Hiaeys,BAL2IAC,miai 18,Deia,Ias,vialime,,,,,,,,
67,Graneey-,Medilerranee,Granes,Granet,Graneey,douzibeme annee,agrafees,point deraneer,,,,,,,,,,,,,,,,
68,chapitr,Ghapitre,,,,,,,,,,,,,,,,,,,,,,
69,Quatre-Can-,lac de ] ture,lac des Quatre-Cantons,renoncant,lac des Quatre-Cantonsa,,,,,,,,,,,,,,,,,,,
70,ylg esees,asese,"aa-inieooseeseese 1.%,,lg",diocbese,Gymnase,serva,,,,,,,,,,,,,,,,,,
71,Humilie,Emilio,Bmilio,familiarite,,,,,,,,,,,,,,,,,,,,
72,aanoeu,noes,Aa,,,,,,,,,,,,,,,,,,,,,
73,travaileur,cliont,avaiont,luiont,Ayg,avaienl,Iavait,,,,,,,,,,,,,,,,,
74,reputalionsee,Reslauralion,Duraht,Jura,Restauralion,Laure,Trivualio,,,,,,,,,,,,,,,,,
75,popre,pre,Apprenez,Comprenez,preiero piece apres,maniPre,veu de la reunion preparatoire,io vex pretrs,prelre,,,,,,,,,,,,,,,
76,atlend,cetle sainte,cetto,cetle,CE1a,Cetle,A cetle,etle,,,,,,,,,,,,,,,,
77,Savarus,avatt,SAYARU,Svarus,,,,,,,,,,,,,,,,,,,,
78,Ia frisre,isiG,is,shis,iruiste,Is,Jallklis,misre,atisve,fodre iside pir plis ke fos vrandes I1,Iis,credis,Assis,A dis-sept,uis,voyis,,,,,,,,
79,Watteville,Watteille,Wattevillo,deWatteville,watteville,Iadame do Watteville,watteile,Walteville,Wattoville,patti,Watlteville,Wutteville,Wattwville,Wattleville,maison Watteville,Wattevill,wattoille,,,,,,,
80,Scey,tceys,Riceys,,,,,,,,,,,,,,,,,,,,,
81,ugenie,Eugenie,Marie-Eugenie,Bugenie,genie,Teniers,,,,,,,,,,,,,,,,,,
82,st ous aveepeur d'una lnttel,Avee,avee,,,,,,,,,,,,,,,,,,,,,
83,Romains,Cmedis Mumaine.)86,romaire,aqueduc des Romains,,,,,,,,,,,,,,,,,,,,
84,A h0pital,Italienne,Italien,tALzAic,Italie,Italiens,Italiensl,alienee,Talma,Italiennes,l'Italie,,,,,,,,,,,,,
85,sanva,passans,passage Sandrie,Ansbac,Bgypan,,,,,,,,,,,,,,,,,,,
86,sanctuaire Yoici lai,griseltes de Besancon,Besacon,A Besancon,Besancon,Besan-,Bosanco,Desancon,,,,,,,,,,,,,,,,
87,Ilalienne,Pilale,Ilaliene,lacs d'Ilalie,Ilalie,de l Ilalie,,,,,,,,,,,,,,,,,,
88,lrange,Btrangers,Frangais,letranger,range,Songe,proligieuxs cbangement,melangee,,,,,,,,,,,,,,,,
