cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
62,Calvario,Calvario:--«,Marialva,alva,,,,,,,,,,,,,,
63,homem.--Então,carne!--Então,bem.--Contou,Homens.--E,homem--_não,,,,,,,,,,,,,
64,Santarem,Santa,Sant'Anna,d'Alcantara,cantaro,Santa Joanna d'Aveiro,Santa Barbara,"Santa
Cecilia",santa cruz,Jantava,Janota,Santa Brigida,,,,,,
65,Deixal-a,Tel-a-heis!,Deixal-as,Casal-a,,,,,,,,,,,,,,
66,resonar,Tres,estrepito,Londres,pressa,Buenos-Ayres,Pires,arvores,retreta,sezões,,,,,,,,
67,Quereria,Queres,Quero,Queria,,,,,,,,,,,,,,
68,falle,Abafava,Accumulava,Fallavam,Fallasse-me,Arfava,palrava,Fallar-lhe,,,,,,,,,,
69,"concubinagens
casuaes",concubinagem,,,,,,,,,,,,,,,,
70,Seraphim,geographia,Sergio,,,,,,,,,,,,,,,
71,hostia redonda,hostias,hostia,S. Sebastiões,"cost and with
almost",,,,,,,,,,,,,
72,Feirão,murrão da véla,Ferrão,Furão,bom Ferrão,Ferrões,,,,,,,,,,,,
73,planeariam,Proletariado,Chiado,Mouraria,petroleo,Vegetar,Rigoleto,,,,,,,,,,,
74,Fôra,Roda fôra supprimida,amigas fôra,chôro,Fôra rica,,,,,,,,,,,,,
75,promettia,Thomar,Roma...,Roma,Una paloma,,,,,,,,,,,,,
76,Aquellas,Áquellas,aquella velha,Aquella,aquella pequena capella d'aldeia,aquella bonita,aquella dôr,elle aquellas,aquella dôce,aquella,,,,,,,,
77,platafórma,patarata,catarrho,Satanaz,Natario,Mataram-me,Natario.--Em,Matta,apparato,,,,,,,,,
78,impio,luva do impio,Emfim,,,,,,,,,,,,,,,
79,viella das Sousas,Sousas,Repousarei,Sousa,rua das Sousas,,,,,,,,,,,,,
80,Trento,Sarmento,Casamento,Carmens,Salento,,,,,,,,,,,,,
81,Jalette,collete,molles,collegas,molle,colleccionar,collete branco,collegio,,,,,,,,,,
82,Cruz,Cruzes,Ruça,,,,,,,,,,,,,,,
83,Cabeça,Sabe,Sabem,,,,,,,,,,,,,,,
84,Mulheres,herejes,"a
Mulher",Tulherias,,,,,,,,,,,,,,
85,mana,ámanhã,Manon,understand,Mande,Grande,Many,Fernandes,,,,,,,,,,
86,Caes do Sodré,locaes,pardaes,taes,frontaes,cardeaes,Taes,pedestaes,,,,,,,,,,
87,Coitadita,Coitadinha,coitadinha,,,,,,,,,,,,,,,
88,ramos bentos,Famosa,Diffamou,Famosa pechincha,Durmamos,Infame,,,,,,,,,,,,
89,Vermorel,Morena,Renans,serena,Morenal,Sena,Gomorrha,Loreto,,,,,,,,,,
90,Alipio de Vasconcellos,Alipio de Vasconcellos Godinho,,,,,,,,,,,,,,,,
91,Arcada,Archanjo,Circo,Arco,Plutarcho,Arco...,anasarca,,,,,,,,,,,
92,d'ahi,Ahi,p'r'áhi,Cahia-me,ahi,bahú,Bahia,D'ahi,,,,,,,,,,
93,Deus,bom Deus!,Thus,"Deus,--é Deus",injustificavel offendeu,côrte de Deus,Adeus,,,,,,,,,,,
94,João Eduardo,João,Cardoso,Arco João Eduardo,,,,,,,,,,,,,,
95,Accendia,Accendiam,,,,,,,,,,,,,,,,
96,Rapariga,saragoça,Paradou,Paraiso,paraiso,arara,Paris,,,,,,,,,,,
97,Repetiu,Repita-me,"Sé
repicava",Sé,Republica,,,,,,,,,,,,,
98,S. Carlos,Carlota,S. Chrysologo,,,,,,,,,,,,,,,
99,Pomba Espiritual,Espirito,Pombal,,,,,,,,,,,,,,,
100,Gethesemani,Lethes,Bethania,,,,,,,,,,,,,,,
101,Cheguem-se,Feche,Fechou,,,,,,,,,,,,,,,
102,balbuciou elle,Abalou,balbuciou,,,,,,,,,,,,,,,
103,Malhão,Agasalha-te,Carvalhosa,Agasalho,Eclogas,,,,,,,,,,,,,
104,Pinheiro,Bairro de David,Pinheiro deu-as,,,,,,,,,,,,,,,
105,affectando,affecto póde,afflicto,,,,,,,,,,,,,,,
106,Martyres,Typ,martyr,Martha,Parto,,,,,,,,,,,,,
107,Crime do Padre Amaro,padre Amaro,Some states do not allow disclaimers of certain,"Crime do
Padre Amaro","CRIME

DO

PADRE AMARO","CRIME

DO

PADRE AMARO




Obras","CRIME

DO

PADRE AMARO




I",CRIME DO PADRE AMARO *,,,,,,,,,,
108,maçãs assadas,Chão de Maçãs,"Chão de
Maçãs",,,,,,,,,,,,,,,
109,Reclamára,Alameda Velha,alameda macadamisada,Alameda,,,,,,,,,,,,,,
110,N'aquelle,n'aquelle,aquelle,aquelle hombro santo,elle vêr aquella,aquelle arsenal beato,n'aquelle buraco,Aquelle,Aquelles,,,,,,,,,
111,Poyaes,cemiterio dos Poyaes,valle triste dos Poyaes,,,,,,,,,,,,,,,
112,São da Encarnação,cova da enxerga,Senhora da Incarnação,Carne,Encarnação,Senhora da Encarnação,Senhora da Piedade,Imitação,,,,,,,,,,
113,Tótósinha,Tótó,,,,,,,,,,,,,,,,
114,Liberus,Jerusalem,Berlim,liberaes,Libano,,,,,,,,,,,,,
115,somno,Coimbra,Assombrado,Passára,córado,,,,,,,,,,,,,
116,D'alli Amaro,camara,_Amaro,traz Amaro,respondera:--E Amaro,recamam,Ribamar,Amaro,d'Amaro,Damasco,mamã,Emfim Amaro,,,,,,
117,Dionysia,Vadios,Dionysia póde,Dionysia...,,,,,,,,,,,,,,
118,d'espada alta,Maltez,altares,saleta,Falta d'união,Salta,Vidalti,Valsa,Salt Lake City,,,,,,,,,
119,Thereza,Natureza,"work
with the phrase",Therezas,There,Marselheza,,,,,,,,,,,,
120,serra de Alcobaça,Alcobaça,Brito de Alcobaça,d'Alcobaça,,,,,,,,,,,,,,
121,ceremonia,Santa Apolonia,Babylonia,Polonia,Agonia,,,,,,,,,,,,,
122,Chalaça,Praça...,Fumaça,Praça,Praça Nova,Graça!,Praça:--«Então,Graça,,,,,,,,,,
123,Job,Joli,Solidão,,,,,,,,,,,,,,,
124,Gamacho,Rabicho,pachorra,borracho,,,,,,,,,,,,,,
125,Saude,saude,,,,,,,,,,,,,,,,
126,d'essa,n'estes,d'este,Estou-te,Nasceste,felicidade n'este nosso santo ministerio,,,,,,,,,,,,
127,bom Novaes,Vaes-te,Novaes,Novaesitos,,,,,,,,,,,,,,
128,Sertejeira,Ir,Gralheira,Vieira,Babuseiras,Vigareira,Tira-m'o,Vira,Beira,bebedeira,praia da Vieira,suggerira,Beira-Alta,trapeira,Madeira,Beijo,Gralheira:--«Todos,Terceira
129,Confessei,conego,conego selvagem,conego Campos,"conego
Dias",conego Dias,,,,,,,,,,,,
130,Vimeiro,pigarreando grosso,carretão,Carreiro,Carôcho,"Joanna
Carreira",cueiro,Terreiro,,,,,,,,,,
131,cara redonda,Credo,bebedo,acre,Redemptor,,,,,,,,,,,,,
132,vigilia,Milão,Familia,familia,Thesouro das familias ou as,,,,,,,,,,,,,
133,Evangelho,Devaneios,Evangelhos,Aconselhou,,,,,,,,,,,,,,
134,velludo preto,cabelluda,velludo,,,,,,,,,,,,,,,
135,rua da Misericordia,"rua da
Misericordia",Concordia,"relogio da
Misericordia",Misericordia,Ricoça,Cordova,--_Quorum remiseris peccata,,,,,,,,,,
136,"cosia
de luneta",Lisboa de Amaro Vieira,aguas de Lisboa,Lisboa,de Lisboa,Lisboa...,estrada de Lisboa,,,,,,,,,,,
137,n'elle,"...

Elle",Belem,impelle,excellencia,elle,d'elle,Delecluze,Telles,escrevia elle,Hotel de Ville,Pobre Telles,Pelletan,pelle,,,,
138,d'olhos baixos,"tectos baixos do
curral coberto de colmo",d'olho,,,,,,,,,,,,,,,
139,|#pág,"|
  |#pág",,,,,,,,,,,,,,,,
140,genebra,Brazil,Trazia,braza,Critica do Brazil,,,,,,,,,,,,,
141,Moravam,Cabraes,Moraes,Moral,eleitoraes,,,,,,,,,,,,,
142,Caminhante,vinho de alto,Joãosinho,Minuete,Libaninho,Gangosinhos,interessesinhos,Pâcatinho,Carlinhos,Minho,cafésinho,Inglezinhos,Godinho,Longuinhos,,,,
143,gaze,Azevedo,However,bacharel Azevedo,,,,,,,,,,,,,,
144,Sahia,sahia,Cahiu,sahiu d'emboscada,sahiu,mugiu,Sahiu,sahir,,,,,,,,,,
145,S. Domingos,Domingos,Dominus,Dominára,,,,,,,,,,,,,,
146,Riam-se-lhe,Pede-lhe,Pede-os,Póde-lhe,,,,,,,,,,,,,,
147,maus costumes,Ciumes,meum,mesa,,,,,,,,,,,,,,
148,incommodar,Mendes,Endoenças,encommendar,commetter,Encolhia,Suspenda,,,,,,,,,,,
149,Bairro Alto,chapéo alto,chapéo,,,,,,,,,,,,,,,
150,Snr,snr,,,,,,,,,,,,,,,,
151,UT,Faute,Project Gutenberg-tm,La Faute,,,,,,,,,,,,,,
152,Correspondencia,Creia,Corrego das Tristes,Correia,torre gemeu,sorri,cortezia,Correu,rua do Correio,,,,,,,,,
153,Quiz,tranquillisar,Quieta,Aquillo,brancos.--«Aqui,vacillou de repente,,,,,,,,,,,,
154,comprehendia!,comprehendia,computer virus,comprehendo,,,,,,,,,,,,,,
155,Una,Comité,commovida,Excommunhão,Começára,Communicado,Communa,,,,,,,,,,,
156,Gonçalves,Salve-Rainha,Salve-Rainhas,Rainhas,,,,,,,,,,,,,,
157,Biblia,Juliana,Julia,,,,,,,,,,,,,,,
158,guardachuvas,cabo da faca,cabo do guardasol,guardasol,cabo dos guardachuvas,,,,,,,,,,,,,
159,Piedade,Sociedade,sociedade.--Então,,,,,,,,,,,,,,,
160,Fraternidade dos Povos,"Eterna
Dôr...",Eternidade,Louvores,Eternidade dos Louvores,,,,,,,,,,,,,
161,Ó Dias,m'as,Diu,Mathias,Dias,perfidia,Podia,,,,,,,,,,,
162,quasi calvo,quasi,,,,,,,,,,,,,,,,
163,gallinha gorda,Taborda,Gorda,S. Gorislano,,,,,,,,,,,,,,
164,Saldanhinha,Joanninha,visinhança,gotinha de café,sombrinha,travesseirinha,Vinha,fresquinha,Augustinha,Mélinha,,,,,,,,
165,Vá,Peixoto levára,Peixoto,,,,,,,,,,,,,,,
166,possilga,Ossuna,vossê!?--fez Amaro,Vossês,Sêbo,vossê,Vossê,,,,,,,,,,,
167,perversa:--E,Versailles,Universidade,Universo,,,,,,,,,,,,,,
168,Dois,don,Mundo,Bois,Dois Mundos,Secundò,,,,,,,,,,,,
169,Insensivel,Infelimente,Estive,Instinctivamente,instincto romantico,,,,,,,,,,,,,
170,Parece-me,Case-me,Lembre-me,Jure-me,,,,,,,,,,,,,,
171,baiuca,saiba,sotainas,Baixa,Ai,Maia,Ais,,,,,,,,,,,
172,alto céo,reino do céo!,chaveiro do céo,chavena,céos,Cordeiro Paschal,Achava-o,d'haver,,,,,,,,,,
173,Fazia-te,mexe-te,Calas-te,Calafates n.^o,Cala-te,Caligula,,,,,,,,,,,,
174,Josepha,conego philosophicamente,philosophar,Philistinos,jubilo,Sophia,,,,,,,,,,,,
175,"S.
Francisco",Estigmas de S. Francisco,triumpho Francisco,S. Francisco,pilar branco,,,,,,,,,,,,,
176,S. Joanneira!,S. Joanneira e elle,"S. João da
Foz",S. Joanneira,S. Joanneira comprehendeu,S. Joanneira na Vieira,"S. Joanneira
tagarellava",,,,,,,,,,,
177,Perfeito,exquisito,Brito apopletico,Brito,,,,,,,,,,,,,,
178,Provença,Villa-Franca,França,Casimira França,ripanço,,,,,,,,,,,,,
179,Biblioteca Nacional de Portugal,em Portugal,Porto,Tu,importunára,bengalão,Portugal,»,,,,,,,,,,
180,Merati,Beati,Beata,,,,,,,,,,,,,,,
181,lageado do largo,lages,lageado,,,,,,,,,,,,,,,
182,Praça ás Ave-Marias,Praça ás Ave-Marias...,,,,,,,,,,,,,,,,
