text,cluster,cluster_corrected
Bonsoir,74,
wagon,74,
Dépêchons,74,
Odéon,74,
Bohême,74,
Bons,74,
Inutile,75,
Vénus,75,
Minuit,75,
Approche,76,
du cher,76,
Perrache,76,
Pacheco,76,
Heulla,76,
Evêché,76,
la manche,76,
Mon cher,76,
J',76,
Cher,76,
