cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
97.0,"avec sa
femme",Rio Janeiro,"ha,—there","Emmy’s,—their",,,,,
98.0,Denmark Hill,Squills,Piccadilly,villa,Ill,Cornhill,Muswell Hill,,
99.0,Sediey,Desert,Diesen,Gravesend,,,,,
100.0,Booterstown,Oystherstown,Quashyboos,,,,,,
101.0,Roc,morocco,Morocco,,,,,,
102.0,Demerara,Cashmere,Mero,,,,,,
103.0,Jericho,Richelieu,Richmond,,,,,,
104.0,sidon,Monsieur Isidor,Monsieur,Isidor,,,,,
105.0,Udolpho,Demagogue,guelph,Prague,,,,,
106.0,Moorish,Broadmoor,,,,,,,
107.0,harriman,Jemima,yakima,,,,,,
108.0,BRIGHTON,Brighton,,,,,,,
109.0,Biscay,Scarce,red scarfs,Red Seas,écarté,,,,
110.0,Madeira,Wiesbaden,Baden,"Baden
Baden",Dresden,,,,
111.0,the West End,"West End Hotels,—nevertheless",West,West End,,,,,
112.0,"éelopement,—or","compliments,—if",Ghent,Athens,Magnificent,,,,
113.0,Clapham,Clapp,,,,,,,
114.0,Frenchmen,Bicétre,Trench,,,,,,
115.0,Music,Club,INCLUSION,,,,,,
116.0,Egalité Orleans,dans la,New Orleans,Orleans,,,,,
117.0,Dulwich,Greenwich,Queen,Harwich,the Green Avenue,,,,
118.0,Sports,Portsmouth,Portansherry,fort,Port,Oporto,Portland,Porky,
119.0,Hornsey,Hornby,Holborn,Horn,,,,,
120.0,Mariposa,Bulgaria,Siberia,Mars,Maria,,,,
121.0,Borodino,beaux,Bordeaux,,,,,,
122.0,Consul,Insee,Peninsula,,,,,,
123.0,Pompadour,pomatum,Pompeii,,,,,,
124.0,Belgravia,belgium,Belgium,,,,,,
125.0,Thames St.,Messrs,Thames,Feltham,,,,,
126.0,"Kensington
Gardens",Wellington,Kensington Gardens,Kensington,Islington,,,,
127.0,Blenheim,Middlesex,Naples,Stubbles,Wimbledon,Tiles,,,
128.0,Banbury,Highbury Barn,Crackenbury,Canterbury,Sudbury,,,,
129.0,Lederlung,Derby,Yonder,Alderney,Ramchunder,Loder,,,
130.0,Kingdom,Abingdon,Bingo,,,,,,
131.0,Albion,Albums,Elba,Germany,Albany,,,,
132.0,Britain,Brittany,Britannia,Rule Britannia,,,,,
133.0,Windsor,Minden,minibus,"mind,.and",,,,,
134.0,the Magic Flute,Madras,the New Road,the Madras Roads,,,,,
135.0,Monseigneur,Dover,Sovereigns,,,,,,
136.0,Butler,Ripley,motley,,,,,,
137.0,Fuddleston,Clingstone,Osbaldiston,History,Jena,Liston,,,
138.0,Curzon,Hart Street,Gaunt Street,Greek Street,Curzon Street,St. James’s Street,,,
139.0,Yellowjack,Zwieback,Cackle,,,,,,
